i white black
190 0 0.00422833
191 0 0
192 0 0.05708245
193 0 0
194 0 0
195 0 0.3403805
196 0 0.02959831
197 0 0
198 0.141649 0
199 0 0
200 0 0
201 0 0.02748414
202 0 0
203 0.06765328 0
204 0 0.01902748
205 0 0
206 0 0.04439746
207 0 0.04651163
208 0 0
209 0 0
210 0 0
211 0 0.00845666
212 0 0.01057082
213 0 0
214 0 0
215 0 0
216 0.2029598 0
217 0 0
218 0 0.006342495
219 0 0
220 0 0.01268499
221 0 0
222 0 0
223 0 0.07188161
224 0 0
225 0 0
226 0 0
227 0 0.00422833
228 0 0
229 0 0
230 0 0.05496829
231 0 0
232 0 0
233 0 0.0422833
234 0 0
235 0 0
236 0 0
237 0 0
238 0 0
239 0 0.002114165
240 0 0.2346723
241 0 0
242 0 0
243 0 0
244 0 0.1057082
245 0 0.03382664
246 0 0
247 0 0
248 0 0.02748414
249 0 0
250 0 0
251 0 0.08879493
252 0 0
253 0 0.06131078
254 0 0.00422833
255 0 0.00845666
256 0 0.02536998
257 0 0
258 0 0
259 0 0
260 0 0
261 0 0.02959831
262 0 0
263 0 0.1183932
264 0 0
265 0 0
266 0 0.1183932
267 0 0
268 0 0
269 0 0
270 0 0
271 0 0.0359408
272 0 0.08879493
273 0 0
274 0 0
275 0 0
276 0 0.1226216
277 0 0.04651163
278 0 0
279 0 0
280 0 0.00845666
281 0 0
282 0 0
283 0 0
284 0 0
285 0 0.01057082
286 0 0
287 0 0.00422833
288 0 0
289 0 0
290 0 0
291 0 0
292 0 0
293 0 0
294 0 0
295 0 0
296 0 0
297 0 0
298 0 0
299 0 0
300 0 0.04862579
301 0 0
302 0 0.002114165
303 0 0.04016913
304 0 0
305 0 0
306 0 0
307 0 0
308 0 0
309 0 0
310 0.2029598 0.06976744
311 0 0.02536998
312 0 0
313 0 0
314 0 0
315 0 0
316 0 0
317 0 0.00845666
318 0 0
319 0 0
320 0 0.00422833
321 0 0
322 0 0.01691332
323 0 0
324 0 0
325 0 0
326 0 0.006342495
327 0 0
328 0 0
329 0.05285412 0.00845666
330 0.04439746 0.06553911
331 0 0.1902748
332 0 0
333 0 0.01479915
334 0.006342495 0.00422833
335 0 0.05073996
336 0 0
337 0 0
338 0 0
339 0 0
340 0 0.04016913
341 0 0
342 0 0
343 0 0
344 0 0
345 0 0.04862579
346 0 0.1099366
347 0 0
348 0.1057082 0
349 0 0
350 0 0.02959831
351 0 0
352 0 0.1226216
353 0 0
354 0 0
355 0 0.04651163
356 0 0
357 0 0
358 0 0.02536998
359 0 0.01268499
360 0 0
361 0 0
362 0 0
363 0 0.03382664
364 0 0.0845666
365 0 0.00845666
366 0 0
367 0 0
368 0 0
369 0 0
370 0 0
371 0 0
372 0 0
373 0 0
374 0.02325581 0.05708245
375 0 0.2790698
376 0 0
377 0 0
378 0 0
379 0 0
380 0.1839323 0.1078224
381 0 0
382 0 0
383 0 0
384 0 0
385 0 0.05708245
386 0 0
387 0 0
388 0 0.01268499
389 0 0.01057082
390 0 0.01268499
391 0 0
392 0 0
393 0 0
394 0.09725159 0
395 0.06553911 0.006342495
396 0 0
397 0 0
398 0 0.03382664
399 0 0.01691332
400 0 0
401 0 0
402 0 0
403 0 0.00845666
404 0 0
405 0 0
406 0.03171247 0
407 0 0
408 0 0.006342495
409 0 0
410 0 0
411 0 0.02114165
412 0 0
413 0 0
414 0 0
415 0 0
416 0 0
417 0 0
418 0 0
419 0 0
420 0 0
421 0 0
422 0 0
423 0 0
424 0 0.02114165
425 0 0
426 0 0
427 0 0
428 0 0
429 0.09302326 0.00422833
430 0 0
431 0 0
432 0 0
433 0 0
434 0 0
435 0 0
436 0 0
437 0 0.002114165
438 0 0
439 0 0.002114165
440 0 0.217759
441 0 0
442 0 0
443 0 0.00845666
444 0 0.04651163
445 0 0
446 0 0.07610994
447 0 0
448 0.1247357 0.3065539
449 0 0
450 0.002114165 0.01691332
451 0 0.002114165
452 0.06765328 0
453 0.02114165 0
454 0.2029598 0.192389
455 0 0
456 0 0
457 0 0
458 0 0
459 0.00845666 0.002114165
460 0 0
461 0 0
462 0 0
463 0 0
464 0 0
465 0 0
466 0 0.02325581
467 0 0
468 0 0.01479915
469 0 0.04016913
470 0 0
471 0 0
472 0 0
473 0 0
474 0 0
475 0 0
476 0 0
477 0.06342495 0.1078224
478 0 0
479 0.02959831 0
480 0 0
481 0 0
482 0 0
483 0 0
484 0 0.03382664
485 0 0
486 0 0
487 0 0
488 0.00422833 0
489 0 0.00845666
490 0 0
491 0 0
492 0 0
493 0 0
494 0 0
495 0 0
496 0.08879493 0.02959831
497 0 0
498 0 0
499 0.04016913 0
