i white black
1 0 0
2 0 0
3 0 0.04862579
4 0 0
5 0 0
6 0 0
7 0.05919662 0.3298097
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0.00845666
13 0.05285412 0.217759
14 0 0.02748414
15 0 0.01268499
16 0.09513742 0
17 0 0.0782241
18 0 0.002114165
19 0 0
20 0 0
21 0 0.01057082
22 0 0
23 0 0
24 0 0
25 0 0.1078224
26 0 0
27 0 0
28 0 0.006342495
29 0 0
30 0.006342495 0.07188161
31 0.1564482 0
32 0 0
33 0 0.2241015
34 0.0845666 0
35 0 0
36 0 0
37 0 0
38 0.1437632 0
39 0 0
40 0 0.1627907
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0.006342495
48 0 0
49 0.01057082 0.04439746
50 0 0
51 0 0
52 0 0
53 0 0.04651163
54 0 0.00422833
55 0 0
56 0 0.02325581
57 0 0
58 0 0
59 0 0
60 0 0.00845666
61 0.1945032 0.002114165
62 0 0.09090909
63 0.09090909 0
64 0 0
65 0 0
66 0 0.04651163
67 0 0
68 0 0.01691332
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0.08879493 0.4038055
75 0 0.1374207
76 0 0
77 0 0.0422833
78 0 0
79 0 0.002114165
80 0 0
81 0 0
82 0 0.217759
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0.2769556 0
90 0 0
91 0 0
92 0 0
93 0 0.002114165
94 0 0
95 0 0
96 0 0
97 0 0.01057082
98 0 0
99 0 0.09513742
100 0 0
101 0 0.2642706
102 0 0
103 0 0
104 0 0
105 0.01479915 0.04862579
106 0 0.1353066
107 0 0
108 0.2515856 0.2071882
109 0 0.05919662
110 0 0
111 0 0
112 0 0
113 0 0
114 0.05708245 0.179704
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0.167019
123 0 0.04862579
124 0 0
125 0 0
126 0.00845666 0.07610994
127 0 0.08668076
128 0 0
129 0 0
130 0 0.01479915
131 0 0.00422833
132 0 0
133 0 0
134 0.09513742 0.2029598
135 0 0.2600423
136 0 0
137 0 0
138 0 0.00422833
139 0 0
140 0 0
141 0 0
142 0 0
143 0 0
144 0 0
145 0 0
146 0 0.01268499
147 0 0
148 0.09090909 0.07399577
149 0 0
150 0 0
151 0.00422833 0
152 0 0
153 0 0.02959831
154 0 0.02748414
155 0 0
156 0 0
157 0 0
158 0 0.00422833
159 0 0
160 0 0
161 0 0
162 0 0.07610994
163 0 0
164 0 0
165 0.002114165 0.03382664
166 0 0.00422833
167 0 0
168 0 0
169 0.08245243 0.2684989
170 0 0.03382664
171 0 0.06553911
172 0 0.09513742
173 0.1035941 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0.01691332 0
180 0.1078224 0
181 0 0.03805497
182 0 0
183 0 0.02114165
184 0 0
185 0 0.05285412
186 0 0.154334
187 0 0.00422833
188 0.1057082 0
189 0 0
