i white black
1 0 0.02197802
2 0 0.003663004
3 0 0
4 0 0
5 0.09065934 0.03296703
6 0 0.01007326
7 0 0
8 0 0.209707
9 0 0.05494505
10 0 0
11 0 0.009157509
12 0.06868132 0.001831502
13 0 0.0009157509
14 0.05494505 0.1556777
15 0 0
16 0.007326007 0.01282051
17 0 0
18 0 0.004578755
19 0 0
20 0.01739927 0.005494505
21 0 0.09065934
22 0 0.01923077
23 0 0.003663004
24 0.03754579 0.1364469
25 0.01465201 0.006410256
26 0 0
27 0.01739927 0
28 0.02655678 0.01465201
29 0.001831502 0.02197802
30 0 0.01556777
31 0 0
32 0 0
33 0.02564103 0.01373626
34 0 0
35 0 0
36 0 0
37 0.008241758 0.228022
38 0 0.05860806
39 0 0.0467033
40 0.06135531 0.02106227
41 0.04487179 0.05586081
42 0 0.002747253
43 0 0.02289377
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0.01007326
49 0 0
50 0 0
51 0 0
52 0 0.01282051
53 0 0.006410256
54 0.003663004 0.0009157509
55 0 0
56 0.001831502 0
57 0 0.02930403
58 0 0
59 0 0.01190476
60 0.002747253 0.006410256
61 0 0
62 0.03663004 0
63 0 0.01282051
64 0 0.008241758
65 0.0009157509 0.1318681
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0.004578755
74 0.01923077 0
75 0 0.1089744
76 0 0.003663004
77 0.06959707 0.2408425
78 0.005494505 0.02655678
79 0 0
80 0 0.006410256
81 0 0.0009157509
82 0 0.003663004
83 0.008241758 0.0485348
84 0.0009157509 0
85 0 0
86 0 0
87 0.01282051 0.06318681
88 0.03021978 0.01098901
89 0 0
90 0 0.001831502
91 0.01739927 0.01556777
92 0 0
93 0 0.01739927
94 0 0.008241758
95 0 0.02380952
96 0.03205128 0.008241758
97 0.001831502 0
98 0.1474359 0
99 0 0
100 0 0
101 0 0.07600733
102 0 0
103 0.03113553 0
104 0 0
105 0 0
106 0 0
107 0.01923077 0.0009157509
108 0 0
109 0 0.01648352
110 0.07509158 0
111 0 0.004578755
112 0 0.007326007
113 0.004578755 0.007326007
114 0 0.0009157509
115 0 0
116 0 0
117 0 0.02472527
118 0.1785714 0.005494505
119 0 0
120 0.01739927 0.01465201
121 0 0
122 0 0.02014652
123 0 0.1080586
124 0 0
125 0.1318681 0.003663004
126 0 0
127 0.1282051 0
128 0.03113553 0.1080586
129 0 0
130 0 0
131 0 0.01465201
132 0.02472527 0.1053114
133 0 0
134 0 0.001831502
135 0 0
136 0 0.02197802
137 0 0.01098901
138 0 0
139 0.1126374 0
140 0 0.001831502
141 0.02930403 0.01648352
142 0 0
143 0.04578755 0
144 0 0
145 0 0.01098901
146 0 0
147 0 0
148 0.1062271 0.004578755
149 0 0.0009157509
150 0 0.002747253
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0.02014652 0.005494505
157 0 0
158 0 0
159 0.02838828 0
160 0 0
161 0.001831502 0.004578755
162 0.02289377 0.05586081
163 0 0
164 0.002747253 0
165 0 0
166 0 0
167 0 0
168 0 0.003663004
169 0.0009157509 0.02106227
170 0 0
171 0 0.02106227
172 0 0
173 0 0.0467033
174 0 0.0009157509
175 0 0.02472527
176 0 0.008241758
177 0 0.01831502
178 0 0.009157509
179 0 0.03937729
180 0 0
181 0 0
182 0 0.03754579
183 0 0.0009157509
184 0 0.07051282
185 0.1208791 0.009157509
186 0 0.04029304
187 0 0.004578755
188 0 0
189 0 0
190 0 0.01465201
191 0.01465201 0
192 0 0.02472527
193 0 0.01007326
194 0 0
195 0.1144689 0.0009157509
196 0 0.01007326
197 0 0
198 0.002747253 0.0009157509
199 0 0
200 0 0
201 0.1492674 0.06776557
202 0 0.002747253
203 0.008241758 0.008241758
204 0 0
205 0 0.01098901
206 0 0.0009157509
207 0 0
208 0 0.007326007
209 0.1108059 0
210 0.002747253 0.005494505
211 0.003663004 0
212 0 0.01465201
213 0 0.004578755
214 0.001831502 0
215 0.001831502 0
216 0 0.001831502
217 0 0
218 0 0
219 0.03479853 0.01648352
220 0.02014652 0.04029304
221 0 0
222 0 0
223 0 0
224 0 0.03021978
225 0.002747253 0.01923077
226 0 0.01465201
227 0 0
228 0 0
229 0 0.0009157509
230 0 0.1043956
231 0.005494505 0
232 0 0.1181319
233 0.01373626 0.1007326
234 0 0
235 0 0.02838828
236 0.008241758 0.05952381
237 0.005494505 0.009157509
238 0 0
239 0 0.01098901
240 0.003663004 0
241 0 0
242 0 0
243 0 0
244 0 0
245 0 0
246 0 0
247 0 0
248 0 0
249 0 0.03113553
250 0 0.01190476
251 0 0
252 0 0
253 0.03663004 0.05677656
254 0 0.0009157509
255 0 0.004578755
256 0 0.006410256
257 0 0.01648352
258 0 0
259 0 0.01190476
260 0 0
261 0 0
262 0.07783883 0.1767399
263 0 0.009157509
264 0 0
265 0 0.002747253
266 0 0.0009157509
267 0.1959707 0.01282051
268 0 0
269 0 0.02014652
270 0 0.01190476
271 0.02747253 0.01556777
272 0 0.003663004
273 0 0
274 0 0.002747253
275 0 0.004578755
276 0 0.2271062
277 0 0
278 0 0.03296703
279 0 0.07600733
280 0.001831502 0
281 0.02930403 0
282 0 0.0009157509
283 0 0
284 0 0
285 0 0
286 0.005494505 0.02289377
287 0 0
288 0 0.01190476
289 0 0.06684982
290 0 0.005494505
291 0 0
292 0 0
293 0.03388278 0
294 0.1144689 0
295 0 0
296 0 0.001831502
297 0.008241758 0
298 0 0.004578755
299 0 0
300 0.04304029 0
301 0 0.001831502
302 0 0
303 0 0
304 0 0
305 0 0.1520147
306 0 0
307 0 0.02564103
308 0.02655678 0.01831502
309 0.03571429 0.07051282
310 0.1007326 0.1382784
311 0 0
312 0 0
313 0 0
314 0 0
315 0 0
316 0.07234432 0
317 0.01556777 0.004578755
318 0.1272894 0
319 0 0.002747253
320 0.004578755 0.002747253
321 0 0
322 0.009157509 0.006410256
323 0 0.01190476
324 0 0.1217949
325 0 0
326 0 0
327 0 0.009157509
328 0.01098901 0.04212454
329 0.001831502 0.01282051
330 0.03113553 0
331 0 0
332 0 0
333 0 0
334 0 0
335 0.003663004 0
336 0 0
337 0 0
338 0 0.007326007
339 0.001831502 0
340 0 0
341 0 0
342 0 0.0009157509
343 0 0.1584249
344 0 0
345 0.01923077 0
346 0 0
347 0.01190476 0
348 0 0
349 0 0.06410256
350 0 0.02930403
351 0 0
352 0 0
353 0 0
354 0 0
355 0 0
356 0 0.03479853
357 0.005494505 0
358 0 0.1144689
359 0 0.009157509
360 0 0
361 0 0.01190476
362 0 0
363 0 0
364 0 0.06043956
365 0 0
366 0 0
367 0 0
368 0 0.0485348
369 0 0
370 0 0
371 0.04304029 0.0503663
372 0 0.003663004
373 0 0.02472527
374 0 0.002747253
375 0 0.01190476
376 0 0.004578755
377 0.005494505 0
378 0 0
379 0.03479853 0
380 0 0.209707
381 0 0
382 0.02930403 0
383 0 0
384 0.04487179 0.0009157509
385 0.009157509 0
386 0 0.005494505
387 0 0.002747253
388 0 0.01923077
389 0 0
390 0 0
391 0 0
392 0 0
393 0 0
394 0.0009157509 0
395 0 0.005494505
396 0 0
397 0 0
398 0 0
399 0 0.01465201
400 0 0
401 0 0
402 0 0
403 0.1071429 0.08424908
404 0 0.002747253
405 0.03205128 0.005494505
406 0 0
407 0 0
408 0 0.004578755
409 0.01648352 0
410 0 0.01373626
411 0 0.01007326
412 0 0
413 0 0.0521978
414 0 0
415 0.04578755 0.03021978
416 0 0
417 0 0
418 0 0
419 0 0.05494505
420 0 0
421 0 0.001831502
422 0 0.01007326
423 0.008241758 0.007326007
424 0 0
425 0 0
426 0.004578755 0
427 0 0.01098901
428 0 0.006410256
429 0.003663004 0.002747253
430 0 0.01007326
431 0 0.008241758
432 0 0
433 0.003663004 0.0009157509
434 0 0
435 0 0
436 0 0.003663004
437 0 0
438 0.02289377 0.05494505
439 0 0
440 0.02014652 0.03479853
441 0 0
442 0 0
443 0 0.03479853
444 0 0
445 0 0.01739927
446 0 0
447 0 0
448 0.004578755 0
449 0 0
450 0 0
451 0 0.1996337
452 0 0
453 0 0
454 0 0
455 0 0.005494505
456 0 0
457 0 0
458 0 0
459 0 0.01190476
460 0 0.01831502
461 0 0
462 0 0.01098901
463 0 0
464 0 0
465 0 0
466 0 0.01098901
467 0 0.009157509
468 0 0.0009157509
469 0 0.03937729
470 0 0
471 0 0.01739927
472 0 0.01739927
473 0 0
474 0.07509158 0
475 0 0.0009157509
476 0.05311355 0.02106227
477 0 0
478 0.001831502 0
479 0 0
480 0 0
481 0 0
482 0.06135531 0.1327839
483 0 0.0009157509
484 0 0.01098901
485 0 0
486 0 0
487 0 0.01282051
488 0 0.07783883
489 0 0
490 0 0.01556777
491 0 0
492 0 0
493 0.02380952 0
494 0 0
495 0 0
496 0 0.1776557
497 0.0467033 0.0009157509
498 0 0
499 0 0
500 0 0.003663004
