i white black
422 0 0.003565062
423 0 0.005347594
424 0 0.02139037
425 0 0
426 0 0
427 0 0
428 0 0.003565062
429 0 0.005347594
430 0 0
431 0 0
432 0 0
433 0 0
434 0.01247772 0
435 0 0
436 0 0
437 0 0.007130125
438 0 0.05882353
439 0 0
440 0.003565062 0
441 0 0
442 0 0
443 0 0.07308378
444 0 0
445 0.1907308 0.1836007
446 0 0.01604278
447 0 0.2103387
448 0 0
449 0 0
450 0 0.003565062
451 0 0
452 0 0
453 0 0
454 0 0.008912656
455 0 0
456 0 0
457 0 0
458 0 0
459 0 0.03386809
460 0.1764706 0.09269162
461 0 0
462 0 0
463 0.1800357 0.06238859
464 0 0
465 0 0
466 0 0.1639929
467 0 0
468 0 0
469 0 0
470 0 0
471 0 0
472 0 0.07486631
473 0 0.2174688
474 0.005347594 0
475 0 0
476 0 0
477 0 0.03565062
478 0 0
479 0 0
480 0 0
481 0 0
482 0.09803922 0
483 0 0
484 0 0.001782531
485 0 0
486 0 0
487 0 0
488 0 0.005347594
489 0 0
490 0.08912656 0
491 0 0
492 0 0.01782531
493 0 0
494 0 0
495 0 0.1568627
496 0 0.1586453
497 0.2317291 0
498 0 0
499 0.01247772 0.02317291
500 0 0
