"i" "test.power"
"268" 268 0.5250737
"269" 269 0.5155435
"270" 270 0.5302927
"271" 271 0.5334695
"272" 272 0.5132743
"273" 273 0.547538
"274" 274 0.5066939
"275" 275 0.516678
"276" 276 0.4948945
"277" 277 0.5164511
"278" 278 0.4930792
"279" 279 0.5225777
"280" 280 0.5366462
"281" 281 0.5277967
"282" 282 0.5479918
"283" 283 0.5178126
"284" 284 0.5175857
"285" 285 0.5112321
"286" 286 0.5073746
"287" 287 0.5221239
"288" 288 0.4917177
"289" 289 0.5153165
"290" 290 0.5291582
"291" 291 0.5200817
"292" 292 0.511686
"293" 293 0.516678
"294" 294 0.5073746
"295" 295 0.5318811
"296" 296 0.519174
"297" 297 0.4658498
"298" 298 0.5001135
"299" 299 0.5234854
"300" 300 0.5164511
"301" 301 0.519174
"302" 302 0.5255276
"303" 303 0.5237123
"304" 304 0.4640345
"305" 305 0.5103245
"306" 306 0.5205355
"307" 307 0.5014749
"308" 308 0.5237123
"309" 309 0.5073746
"310" 310 0.5069208
"311" 311 0.511686
"312" 312 0.4923985
"313" 313 0.5332426
"314" 314 0.5266621
"315" 315 0.503744
"316" 316 0.5189471
"317" 317 0.5173587
"318" 318 0.5053324
"319" 319 0.5436805
"320" 320 0.5146358
"321" 321 0.5280236
"322" 322 0.503744
"323" 323 0.503744
"324" 324 0.519174
"325" 325 0.519174
"326" 326 0.5341502
"327" 327 0.5300658
"328" 328 0.5030633
"329" 329 0.5137282
"330" 330 0.4976174
"331" 331 0.5153165
"332" 332 0.4889948
"333" 333 0.524393
"334" 334 0.5019287
"335" 335 0.5017018
"336" 336 0.5291582
"337" 337 0.516678
"338" 338 0.4953483
"339" 339 0.5232585
"340" 340 0.5171318
"341" 341 0.5178126
"342" 342 0.529612
"343" 343 0.5121398
"344" 344 0.5032902
"345" 345 0.5418652
"346" 346 0.5035171
"347" 347 0.5082823
"348" 348 0.529612
"349" 349 0.5107783
"350" 350 0.5035171
"351" 351 0.521897
"352" 352 0.5005673
"353" 353 0.5409576
"354" 354 0.5139551
"355" 355 0.5155435
"356" 356 0.5080554
"357" 357 0.5253007
"358" 358 0.5080554
"359" 359 0.5014749
"360" 360 0.5184933
"361" 361 0.5257545
"362" 362 0.5159973
"363" 363 0.5425459
"364" 364 0.5119129
"365" 365 0.5232585
"366" 366 0.5041979
"367" 367 0.508963
"368" 368 0.5416383
"369" 369 0.5159973
"370" 370 0.5130474
"371" 371 0.5332426
"372" 372 0.5087361
"373" 373 0.5017018
"374" 374 0.4921715
"375" 375 0.5307465
"376" 376 0.5493533
"377" 377 0.5361924
"378" 378 0.537327
"379" 379 0.5023826
"380" 380 0.5214432
"381" 381 0.5287043
"382" 382 0.4951214
"383" 383 0.5153165
"384" 384 0.508963
"385" 385 0.503971
"386" 386 0.5284774
"387" 387 0.5302927
"388" 388 0.526889
"389" 389 0.5264352
"390" 390 0.5250737
"391" 391 0.5098707
"392" 392 0.496256
"393" 393 0.5334695
"394" 394 0.5014749
"395" 395 0.5046517
"396" 396 0.5386885
"397" 397 0.5312004
"398" 398 0.5234854
"399" 399 0.532108
"400" 400 0.534831
"401" 401 0.5107783
"402" 402 0.5237123
"403" 403 0.4899024
"404" 404 0.5178126
"405" 405 0.4994327
"406" 406 0.5482187
"407" 407 0.524393
"408" 408 0.5273429
"409" 409 0.5128205
"410" 410 0.5159973
"411" 411 0.5341502
"412" 412 0.5255276
"413" 413 0.5277967
"414" 414 0.511459
"415" 415 0.5343771
"416" 416 0.5543454
"417" 417 0.5159973
"418" 418 0.5409576
"419" 419 0.5230315
"420" 420 0.4855911
"421" 421 0.5021557
"422" 422 0.5135012
"423" 423 0.5026095
"424" 424 0.5164511
"425" 425 0.5032902
"426" 426 0.5189471
"427" 427 0.5066939
"428" 428 0.5266621
"429" 429 0.5277967
"430" 430 0.5123667
"431" 431 0.506467
"432" 432 0.5019287
"433" 433 0.5466304
"434" 434 0.503744
"435" 435 0.5071477
"436" 436 0.5103245
"437" 437 0.5112321
"438" 438 0.5327887
"439" 439 0.5112321
"440" 440 0.5032902
"441" 441 0.5277967
"442" 442 0.4855911
"443" 443 0.5094168
"444" 444 0.5228046
"445" 445 0.4980713
"446" 446 0.5005673
"447" 447 0.4896755
"448" 448 0.5119129
"449" 449 0.5300658
"450" 450 0.5157704
"451" 451 0.5216701
"452" 452 0.5105514
"453" 453 0.5205355
"454" 454 0.5105514
"455" 455 0.5010211
"456" 456 0.5196279
"457" 457 0.519401
"458" 458 0.5230315
"459" 459 0.5454958
"460" 460 0.5169049
"461" 461 0.5159973
"462" 462 0.5230315
"463" 463 0.5439074
"464" 464 0.5214432
"465" 465 0.5189471
"466" 466 0.5407307
"467" 467 0.519401
"468" 468 0.5316542
"469" 469 0.4610846
"470" 470 0.5130474
"471" 471 0.5364193
"472" 472 0.5434536
"473" 473 0.5377808
"474" 474 0.496029
"475" 475 0.5248468
"476" 476 0.5364193
"477" 477 0.4971636
"478" 478 0.4864988
"479" 479 0.529612
"480" 480 0.5159973
"481" 481 0.5273429
"482" 482 0.5318811
"483" 483 0.5121398
"484" 484 0.5325618
"485" 485 0.4939868
"486" 486 0.508963
"487" 487 0.5259814
"488" 488 0.5051055
"489" 489 0.5545723
"490" 490 0.5391423
"491" 491 0.4762877
"492" 492 0.5169049
"493" 493 0.5316542
"494" 494 0.5420921
"495" 495 0.5221239
"496" 496 0.5280236
"497" 497 0.5048786
"498" 498 0.5200817
"499" 499 0.5062401
"500" 500 0.5094168
"501" 501 0.5128205
"502" 502 0.493533
"503" 503 0.4862718
"504" 504 0.506467
"505" 505 0.511686
"506" 506 0.537327
"507" 507 0.5178126
"508" 508 0.550034
"509" 509 0.5019287
"510" 510 0.5248468
"511" 511 0.5493533
"512" 512 0.5223508
"513" 513 0.4871795
"514" 514 0.4658498
"515" 515 0.5232585
"516" 516 0.5284774
"517" 517 0.5314273
"518" 518 0.5078285
"519" 519 0.5135012
"520" 520 0.5425459
"521" 521 0.5010211
"522" 522 0.5212162
"523" 523 0.5293851
"524" 524 0.5030633
"525" 525 0.4901293
"526" 526 0.545042
"527" 527 0.5169049
"528" 528 0.5479918
"529" 529 0.532108
"530" 530 0.5466304
"531" 531 0.5228046
"532" 532 0.514182
"533" 533 0.5205355
"534" 534 0.4994327
"535" 535 0.5223508
"536" 536 0.5327887
"537" 537 0.5073746
"538" 538 0.4917177
