"i" "test.power"
"268" 268 0.4329476
"269" 269 0.2507375
"270" 270 0.07283867
"271" 271 0.3079192
"272" 272 0.4050374
"273" 273 0.365101
"274" 274 0.4016338
"275" 275 0.3628319
"276" 276 0.4039029
"277" 277 0.4715226
"278" 278 0.377808
"279" 279 0.2384842
"280" 280 0.3557976
"281" 281 0.4250057
"282" 282 0.3857499
"283" 283 0.3498979
"284" 284 0.3319719
"285" 285 0.3637395
"286" 286 0.3437713
"287" 287 0.2536873
"288" 288 0.4229635
"289" 289 0.1540731
"290" 290 0.1449966
"291" 291 0.3918766
"292" 292 0.3945995
"293" 293 0.4073066
"294" 294 0.4608577
"295" 295 0.2316769
"296" 296 0.4020876
"297" 297 0.3807579
"298" 298 0.406172
"299" 299 0.4279555
"300" 300 0.3179033
"301" 301 0.2135239
"302" 302 0.1454504
"303" 303 0.3628319
"304" 304 0.3474019
"305" 305 0.3399138
"306" 306 0.0735194
"307" 307 0.1252553
"308" 308 0.3991377
"309" 309 0.4161561
"310" 310 0.4690265
"311" 311 0.1518039
"312" 312 0.3426367
"313" 313 0.1449966
"314" 314 0.1636034
"315" 315 0.2423417
"316" 316 0.08078058
"317" 317 0.3512594
"318" 318 0.2062628
"319" 319 0.3757658
"320" 320 0.3791695
"321" 321 0.3818924
"322" 322 0.4227366
"323" 323 0.0560472
"324" 324 0.3610166
"325" 325 0.1356932
"326" 326 0.2736555
"327" 327 0.3340141
"328" 328 0.326526
"329" 329 0.3267529
"330" 330 0.1608804
"331" 331 0.3966417
"332" 332 0.2382573
"333" 333 0.2752439
"334" 334 0.07034264
"335" 335 0.4642614
"336" 336 0.4116179
"337" 337 0.3312911
"338" 338 0.0948491
"339" 339 0.4225096
"340" 340 0.1431813
"341" 341 0.4309054
"342" 342 0.2382573
"343" 343 0.125936
"344" 344 0.3657817
"345" 345 0.4157023
"346" 346 0.0290447
"347" 347 0.08645337
"348" 348 0.4372589
"349" 349 0.3716814
"350" 350 0.447243
"351" 351 0.377808
"352" 352 0.4299977
"353" 353 0.3508055
"354" 354 0.3685047
"355" 355 0.4159292
"356" 356 0.4247788
"357" 357 0.1806217
"358" 358 0.3995916
"359" 359 0.4411164
"360" 360 0.02019514
"361" 361 0.3689585
"362" 362 0.07964602
"363" 363 0.4141139
"364" 364 0.1461312
"365" 365 0.4526889
"366" 366 0.4172907
"367" 367 0.4449739
"368" 368 0.04129794
"369" 369 0.02745632
"370" 370 0.4102564
"371" 371 0.454958
"372" 372 0.4172907
"373" 373 0.4093488
"374" 374 0.3825732
"375" 375 0.4025414
"376" 376 0.3862038
"377" 377 0.4057182
"378" 378 0.3149535
"379" 379 0.1572498
"380" 380 0.4343091
"381" 381 0.3498979
"382" 382 0.4336283
"383" 383 0.4442932
"384" 384 0.4397549
"385" 385 0.4327207
"386" 386 0.3757658
"387" 387 0.3955071
"388" 388 0.3396869
"389" 389 0.1656456
"390" 390 0.421602
"391" 391 0.2768323
"392" 392 0.4433855
"393" 393 0.3839346
"394" 394 0.2843204
"395" 395 0.3190379
"396" 396 0.3346948
"397" 397 0.3673701
"398" 398 0.4102564
"399" 399 0.2155661
"400" 400 0.4458816
"401" 401 0.2164738
"402" 402 0.0735194
"403" 403 0.3641933
"404" 404 0.3428636
"405" 405 0.1406853
"406" 406 0.377808
"407" 407 0.3253914
"408" 408 0.1030179
"409" 409 0.2992966
"410" 410 0.2990697
"411" 411 0.3374177
"412" 412 0.3498979
"413" 413 0.4445201
"414" 414 0.3147266
"415" 415 0.2187429
"416" 416 0.4100295
"417" 417 0.3934649
"418" 418 0.2888586
"419" 419 0.3739505
"420" 420 0.07964602
"421" 421 0.3873383
"422" 422 0.1470388
"423" 423 0.1976401
"424" 424 0.4402088
"425" 425 0.3319719
"426" 426 0.09984116
"427" 427 0.3712276
"428" 428 0.4542773
"429" 429 0.32403
"430" 430 0.4420241
"431" 431 0.4161561
"432" 432 0.3628319
"433" 433 0.3079192
"434" 434 0.2897663
"435" 435 0.07397322
"436" 436 0.4467892
"437" 437 0.4225096
"438" 438 0.128432
"439" 439 0.07306558
"440" 440 0.08100749
"441" 441 0.4386204
"442" 442 0.3803041
"443" 443 0.3621511
"444" 444 0.4175176
"445" 445 0.2139778
"446" 446 0.3262991
"447" 447 0.357386
"448" 448 0.2909008
"449" 449 0.1275244
"450" 450 0.3383254
"451" 451 0.3051963
"452" 452 0.3569322
"453" 453 0.3619242
"454" 454 0.2913547
"455" 455 0.1742682
"456" 456 0.3603358
"457" 457 0.4520082
"458" 458 0.1116406
"459" 459 0.1554345
"460" 460 0.4091219
"461" 461 0.3725891
"462" 462 0.4134332
"463" 463 0.3721352
"464" 464 0.3274336
"465" 465 0.4336283
"466" 466 0.08236896
"467" 467 0.1667801
"468" 468 0.3671432
"469" 469 0.4631268
"470" 470 0.4828682
"471" 471 0.3451327
"472" 472 0.3780349
"473" 473 0.2638983
"474" 474 0.3657817
"475" 475 0.1270706
"476" 476 0.29317
"477" 477 0.3884729
"478" 478 0.1683685
"479" 479 0.1856138
"480" 480 0.4331745
"481" 481 0.4470161
"482" 482 0.3921035
"483" 483 0.1887906
"484" 484 0.3766735
"485" 485 0.3430905
"486" 486 0.4020876
"487" 487 0.2205582
"488" 488 0.4520082
"489" 489 0.3966417
"490" 490 0.3905151
"491" 491 0.2062628
"492" 492 0.1145904
"493" 493 0.316088
"494" 494 0.2078511
"495" 495 0.465396
"496" 496 0.05468573
"497" 497 0.3036079
"498" 498 0.4104833
"499" 499 0.102791
"500" 500 0.3415022
"501" 501 0.2319038
"502" 502 0.2157931
"503" 503 0.4948945
"504" 504 0.3217608
"505" 505 0.3458135
"506" 506 0.205582
"507" 507 0.3428636
"508" 508 0.03335602
"509" 509 0.4302246
"510" 510 0.403676
"511" 511 0.01974132
"512" 512 0.2298616
"513" 513 0.08259587
"514" 514 0.4336283
"515" 515 0.4023145
"516" 516 0.05377808
"517" 517 0.4054913
"518" 518 0.0928069
"519" 519 0.3292489
"520" 520 0.3891536
"521" 521 0.005672793
"522" 522 0.07533469
"523" 523 0.1828909
"524" 524 0.3744044
"525" 525 0.4617654
"526" 526 0.4059451
"527" 527 0.3517132
"528" 528 0.3095076
"529" 529 0.1429544
"530" 530 0.3941457
"531" 531 0.08622646
"532" 532 0.4161561
"533" 533 0.339233
"534" 534 0.4613115
"535" 535 0.4104833
"536" 536 0.2990697
"537" 537 0.0948491
"538" 538 0.2899932
"539" 539 0.4458816
"540" 540 0.3644202
"541" 541 0.3848423
"542" 542 0.2684366
"543" 543 0.3095076
"544" 544 0.4057182
"545" 545 0.2069435
"546" 546 0.4329476
"547" 547 0.2139778
"548" 548 0.1556614
"549" 549 0.4032221
"550" 550 0.3369639
"551" 551 0.4073066
"552" 552 0.05899705
"553" 553 0.3353755
"554" 554 0.3076923
"555" 555 0.3176764
"556" 556 0.08146131
"557" 557 0.2670751
"558" 558 0.4322668
"559" 559 0.1300204
"560" 560 0.1204901
"561" 561 0.3921035
"562" 562 0.3099614
"563" 563 0.4379396
"564" 564 0.4159292
"565" 565 0.4399818
"566" 566 0.1193556
"567" 567 0.1166326
"568" 568 0.3626049
"569" 569 0.4254595
"570" 570 0.2584525
"571" 571 0.2309961
"572" 572 0.4145677
"573" 573 0.4084411
"574" 574 0.4073066
"575" 575 0.4265941
"576" 576 0.1400045
"577" 577 0.1601997
"578" 578 0.4417971
"579" 579 0.4288632
"580" 580 0.09235307
"581" 581 0.07079646
"582" 582 0.4079873
"583" 583 0.3825732
"584" 584 0.2103472
"585" 585 0.393238
"586" 586 0.1660994
"587" 587 0.4270479
"588" 588 0.4281824
"589" 589 0.2171545
"590" 590 0.4143408
"591" 591 0.4374858
"592" 592 0.3982301
"593" 593 0.3877921
"594" 594 0.3458135
"595" 595 0.3719083
"596" 596 0.3721352
"597" 597 0.4011799
"598" 598 0.3596551
"599" 599 0.4390742
"600" 600 0.2291808
"601" 601 0.1370547
"602" 602 0.3208532
"603" 603 0.3578398
"604" 604 0.1926481
"605" 605 0.4486045
"606" 606 0.3789426
"607" 607 0.1263898
"608" 608 0.3641933
"609" 609 0.06852734
"610" 610 0.1159519
"611" 611 0.4236442
"612" 612 0.2686635
"613" 613 0.2825051
"614" 614 0.3789426
"615" 615 0.2566372
"616" 616 0.2480145
"617" 617 0.4277286
"618" 618 0.3596551
"619" 619 0.3905151
"620" 620 0.1917404
"621" 621 0.2654867
"622" 622 0.3626049
"623" 623 0.06013161
"624" 624 0.3601089
"625" 625 0.4324938
"626" 626 0.3769004
"627" 627 0.4365782
"628" 628 0.3641933
"629" 629 0.07601543
"630" 630 0.09189925
"631" 631 0.390742
"632" 632 0.4347629
"633" 633 0.4517813
"634" 634 0.2418879
"635" 635 0.4079873
"636" 636 0.3092807
"637" 637 0.3780349
"638" 638 0.2312231
"639" 639 0.3589744
"640" 640 0.4132063
"641" 641 0.4002723
"642" 642 0.4572271
"643" 643 0.1377354
"644" 644 0.1801679
"645" 645 0.4168369
"646" 646 0.3337872
"647" 647 0.2525528
"648" 648 0.416383
"649" 649 0.344452
"650" 650 0.1588382
"651" 651 0.192875
"652" 652 0.4488314
"653" 653 0.4218289
"654" 654 0.3793964
"655" 655 0.3755389
"656" 656 0.3503517
"657" 657 0.3321988
"658" 658 0.4238711
"659" 659 0.4386204
"660" 660 0.1381892
"661" 661 0.4265941
"662" 662 0.3485364
"663" 663 0.1061947
"664" 664 0.4034491
"665" 665 0.1642841
"666" 666 0.3739505
"667" 667 0.3172226
"668" 668 0.3841616
"669" 669 0.4025414
"670" 670 0.4016338
"671" 671 0.4098026
"672" 672 0.3859769
"673" 673 0.1366009
"674" 674 0.4760608
"675" 675 0.3719083
"676" 676 0.3494441
"677" 677 0.431813
"678" 678 0.128432
"679" 679 0.2756978
"680" 680 0.4150216
"681" 681 0.1393238
"682" 682 0.3755389
"683" 683 0.3557976
"684" 684 0.3610166
"685" 685 0.1581575
"686" 686 0.3548899
"687" 687 0.3312911
"688" 688 0.1524847
"689" 689 0.09552984
"690" 690 0.213297
"691" 691 0.3603358
"692" 692 0.3664624
"693" 693 0.3737236
"694" 694 0.4247788
"695" 695 0.3235761
"696" 696 0.2067166
"697" 697 0.1744951
"698" 698 0.3378716
"699" 699 0.4445201
"700" 700 0.01316088
"701" 701 0.3839346
"702" 702 0.398457
"703" 703 0.3029272
"704" 704 0.177445
"705" 705 0.2659405
"706" 706 0.4372589
"707" 707 0.383027
"708" 708 0.411391
"709" 709 0.3902882
"710" 710 0.2260041
"711" 711 0.4597232
"712" 712 0.1622419
"713" 713 0.4311323
"714" 714 0.08781484
"715" 715 0.2909008
"716" 716 0.4188791
"717" 717 0.3730429
"718" 718 0.06262764
"719" 719 0.1971863
"720" 720 0.04402088
"721" 721 0.2437032
"722" 722 0.08395734
"723" 723 0.4181983
"724" 724 0.05650102
"725" 725 0.2114817
"726" 726 0.3973224
"727" 727 0.1511232
"728" 728 0.3340141
"729" 729 0.395961
"730" 730 0.2961198
"731" 731 0.3948264
"732" 732 0.3126844
"733" 733 0.4306785
"734" 734 0.3952802
"735" 735 0.3889267
"736" 736 0.3707738
"737" 737 0.406172
"738" 738 0.1068754
"739" 739 0.3167688
"740" 740 0.3841616
"741" 741 0.2312231
"742" 742 0.2121625
"743" 743 0.3884729
"744" 744 0.4120717
"745" 745 0.18516
"746" 746 0.4057182
"747" 747 0.3864307
"748" 748 0.3471749
"749" 749 0.2899932
"750" 750 0.4098026
"751" 751 0.411391
"752" 752 0.1111867
"753" 753 0.2550488
"754" 754 0.3626049
"755" 755 0.4100295
"756" 756 0.4209213
"757" 757 0.4211482
"758" 758 0.3980032
"759" 759 0.09257999
"760" 760 0.4029952
"761" 761 0.3791695
"762" 762 0.4184252
"763" 763 0.1672339
"764" 764 0.1663263
"765" 765 0.3430905
"766" 766 0.3961879
"767" 767 0.4082142
"768" 768 0.09961425
"769" 769 0.1481734
"770" 770 0.3896074
"771" 771 0.1257091
"772" 772 0.4220558
"773" 773 0.03539823
"774" 774 0.4091219
"775" 775 0.4295439
"776" 776 0.4168369
"777" 777 0.2990697
"778" 778 0.390742
"779" 779 0.2378035
"780" 780 0.1313819
"781" 781 0.3326526
"782" 782 0.1606535
"783" 783 0.1415929
"784" 784 0.4004992
"785" 785 0.1007488
"786" 786 0.3803041
"787" 787 0.06262764
"788" 788 0.06308146
"789" 789 0.05922396
"790" 790 0.1962786
"791" 791 0.06262764
"792" 792 0.3269798
"793" 793 0.3462673
