"i" "test.power"
"269" 269 0.4726819
"270" 270 0.565178
"271" 271 0.5447744
"272" 272 0.5162095
"273" 273 0.5066878
"274" 274 0.5037406
"275" 275 0.4871911
"276" 276 0.4361823
"277" 277 0.5463614
"278" 278 0.565178
"279" 279 0.5508955
"280" 280 0.5232374
"281" 281 0.4069372
"282" 282 0.5098617
"283" 283 0.559737
"284" 284 0.5001134
"285" 285 0.5479483
"286" 286 0.4989798
"287" 287 0.5198368
"288" 288 0.5463614
"289" 289 0.4681478
"290" 290 0.4645205
"291" 291 0.4447971
"292" 292 0.4373158
"293" 293 0.432555
"294" 294 0.4939923
"295" 295 0.5264112
"296" 296 0.5064611
"297" 297 0.5128089
"298" 298 0.559737
"299" 299 0.5391068
"300" 300 0.3563818
"301" 301 0.5479483
"302" 302 0.5209703
"303" 303 0.5064611
"304" 304 0.436409
"305" 305 0.4778962
"306" 306 0.5234641
"307" 307 0.5191567
"308" 308 0.5379732
"309" 309 0.3980957
"310" 310 0.4846973
"311" 311 0.5066878
"312" 312 0.5307187
"313" 313 0.5230107
"314" 314 0.501927
"315" 315 0.5270914
"316" 316 0.5091816
"317" 317 0.5075946
"318" 318 0.446384
"319" 319 0.509635
"320" 320 0.4967128
"321" 321 0.4756291
"322" 322 0.5148492
"323" 323 0.4937656
"324" 324 0.4373158
"325" 325 0.5010202
"326" 326 0.544321
"327" 327 0.5506688
"328" 328 0.5112219
"329" 329 0.4862843
"330" 330 0.4973929
"331" 331 0.4837905
"332" 332 0.5320789
"333" 333 0.4794831
"334" 334 0.5468148
"335" 335 0.4955792
"336" 336 0.5130356
"337" 337 0.5112219
"338" 338 0.5148492
"339" 339 0.5309454
"340" 340 0.5157561
"341" 341 0.44253
"342" 342 0.5438676
"343" 343 0.5493085
"344" 344 0.3854001
"345" 345 0.5175697
"346" 346 0.4450238
"347" 347 0.4683745
"348" 348 0.5529358
"349" 349 0.5395602
"350" 350 0.4715484
"351" 351 0.5225572
"352" 352 0.5490818
"353" 353 0.5518023
"354" 354 0.5123555
"355" 355 0.528905
"356" 356 0.5316255
"357" 357 0.4958059
"358" 358 0.3584221
"359" 359 0.5540694
"360" 360 0.5189299
"361" 361 0.467241
"362" 362 0.528905
"363" 363 0.4375425
"364" 364 0.4343686
"365" 365 0.5418273
"366" 366 0.5098617
"367" 367 0.5227839
"368" 368 0.4883246
"369" 369 0.5284516
"370" 370 0.4307413
"371" 371 0.5153027
"372" 372 0.4953525
"373" 373 0.5499887
"374" 374 0.4164589
"375" 375 0.5248243
"376" 376 0.5119021
"377" 377 0.4905917
"378" 378 0.4130583
"379" 379 0.5468148
"380" 380 0.5540694
"381" 381 0.5588302
"382" 382 0.5041941
"383" 383 0.3804126
"384" 384 0.534346
"385" 385 0.4563591
"386" 386 0.5341192
"387" 387 0.5202902
"388" 388 0.5277715
"389" 389 0.5511222
"390" 390 0.5166629
"391" 391 0.5282249
"392" 392 0.5302652
"393" 393 0.5082748
"394" 394 0.5232374
"395" 395 0.4531852
"396" 396 0.5230107
"397" 397 0.4717751
"398" 398 0.5116754
"399" 399 0.4663342
"400" 400 0.5275448
"401" 401 0.5502154
"402" 402 0.5397869
"403" 403 0.5291317
"404" 404 0.5146225
"405" 405 0.5332124
"406" 406 0.5490818
"407" 407 0.5379732
"408" 408 0.3883473
"409" 409 0.5098617
"410" 410 0.5354795
"411" 411 0.5450011
"412" 412 0.4948991
"413" 413 0.5400136
"414" 414 0.4921786
"415" 415 0.5193834
"416" 416 0.4871911
"417" 417 0.4590796
"418" 418 0.4914985
"419" 419 0.5302652
"420" 420 0.5198368
"421" 421 0.4613466
"422" 422 0.5175697
"423" 423 0.5409204
"424" 424 0.4400363
"425" 425 0.5422807
"426" 426 0.4840172
"427" 427 0.5171163
"428" 428 0.4835638
"429" 429 0.4565858
