"c.0.0018018018018018..0.0288288288288288..0..0..0..0..0..0..0.." "c.0..0..0.0216216216216216..0..0..0.00900900900900901..0..0.."
"1" 0.0018018018018018 0
"2" 0.0288288288288288 0
"3" 0 0.0216216216216216
"4" 0 0
"5" 0 0
"6" 0 0.00900900900900901
"7" 0 0
"8" 0 0
"9" 0 0
"10" 0 0
"11" 0 0.234234234234234
"12" 0.0558558558558559 0.0234234234234234
"13" 0 0.00720720720720721
"14" 0.0018018018018018 0
"15" 0.0252252252252252 0.0522522522522523
"16" 0.0018018018018018 0
"17" 0.00720720720720721 0.00540540540540541
"18" 0.0900900900900901 0.0252252252252252
"19" 0 0
"20" 0 0
"21" 0 0
"22" 0 0.0018018018018018
"23" 0.111711711711712 0.0144144144144144
"24" 0 0
"25" 0.00720720720720721 0
"26" 0 0
"27" 0.0018018018018018 0.00720720720720721
"28" 0 0
"29" 0 0.00900900900900901
"30" 0 0
"31" 0 0.0108108108108108
"32" 0 0.473873873873874
"33" 0 0.0540540540540541
"34" 0 0.027027027027027
"35" 0.0774774774774775 0.0252252252252252
"36" 0 0.0396396396396396
"37" 0 0
"38" 0.205405405405405 0
"39" 0.102702702702703 0
"40" 0 0
"41" 0 0.0144144144144144
"42" 0 0
"43" 0 0.00540540540540541
"44" 0 0
"45" 0 0
"46" 0 0.0018018018018018
"47" 0.0378378378378378 0.0882882882882883
"48" 0 0.0288288288288288
"49" 0 0.0036036036036036
"50" 0 0
"51" 0 0
"52" 0 0
"53" 0.122522522522523 0.106306306306306
"54" 0 0
"55" 0 0.0198198198198198
"56" 0 0.0108108108108108
"57" 0.0126126126126126 0
"58" 0.0018018018018018 0
"59" 0 0
"60" 0 0.282882882882883
"61" 0 0
"62" 0 0.0018018018018018
"63" 0 0.018018018018018
"64" 0 0
"65" 0 0
"66" 0.0288288288288288 0.437837837837838
"67" 0 0
"68" 0 0.0504504504504504
"69" 0 0.00540540540540541
"70" 0.00540540540540541 0.0810810810810811
"71" 0 0
"72" 0.140540540540541 0.0144144144144144
"73" 0.0018018018018018 0.0594594594594595
"74" 0 0
"75" 0 0
"76" 0 0.0306306306306306
"77" 0.111711711711712 0.0162162162162162
"78" 0.0702702702702703 0
"79" 0 0.0036036036036036
"80" 0 0.0108108108108108
"81" 0 0
"82" 0.0774774774774775 0
"83" 0 0.0486486486486487
"84" 0 0.0126126126126126
"85" 0 0
"86" 0 0.0630630630630631
"87" 0 0
"88" 0 0.434234234234234
"89" 0 0
"90" 0 0
"91" 0 0.0900900900900901
"92" 0 0.0432432432432432
"93" 0.027027027027027 0.454054054054054
"94" 0 0.0198198198198198
"95" 0.0018018018018018 0.0342342342342342
"96" 0 0
"97" 0 0
"98" 0 0.00900900900900901
"99" 0 0.00540540540540541
"100" 0 0.131531531531532
"101" 0.0288288288288288 0.0720720720720721
"102" 0.100900900900901 0.0558558558558559
"103" 0 0.0162162162162162
"104" 0.0558558558558559 0.0252252252252252
"105" 0 0.0648648648648649
"106" 0 0.0216216216216216
"107" 0 0.0036036036036036
"108" 0.0018018018018018 0
"109" 0 0.111711711711712
"110" 0 0
"111" 0 0
"112" 0 0
"113" 0 0
"114" 0 0
"115" 0 0.00900900900900901
"116" 0 0
"117" 0 0.027027027027027
"118" 0 0
"119" 0 0.00540540540540541
"120" 0 0
"121" 0 0.00540540540540541
"122" 0 0
"123" 0.0198198198198198 0.324324324324324
"124" 0.00720720720720721 0.0036036036036036
"125" 0 0.00900900900900901
"126" 0 0
"127" 0 0.0198198198198198
"128" 0 0
"129" 0.0234234234234234 0.488288288288288
"130" 0 0
"131" 0.0126126126126126 0
"132" 0 0.0126126126126126
"133" 0 0
"134" 0 0
"135" 0 0
"136" 0.0702702702702703 0.484684684684685
"137" 0 0.00900900900900901
"138" 0 0.0234234234234234
"139" 0 0.0018018018018018
"140" 0 0
"141" 0 0.409009009009009
"142" 0 0.0594594594594595
"143" 0 0
"144" 0 0
"145" 0 0.0126126126126126
"146" 0 0.0288288288288288
"147" 0 0
"148" 0 0
"149" 0 0
"150" 0.144144144144144 0.0342342342342342
"151" 0.036036036036036 0.113513513513514
"152" 0 0.0666666666666667
"153" 0 0.156756756756757
"154" 0 0.0018018018018018
"155" 0 0
"156" 0 0.0594594594594595
"157" 0 0.481081081081081
"158" 0.0018018018018018 0.0198198198198198
"159" 0 0
"160" 0 0
"161" 0 0
"162" 0 0
"163" 0 0
"164" 0 0.0108108108108108
"165" 0.0018018018018018 0.0972972972972973
"166" 0 0.0126126126126126
"167" 0 0
"168" 0 0.0306306306306306
"169" 0 0.0144144144144144
"170" 0 0
"171" 0.0252252252252252 0
"172" 0 0
"173" 0.0036036036036036 0
"174" 0 0
"175" 0 0.106306306306306
"176" 0 0
"177" 0.0720720720720721 0.0396396396396396
"178" 0 0.0108108108108108
"179" 0 0.115315315315315
"180" 0 0.481081081081081
"181" 0.0036036036036036 0.0144144144144144
"182" 0 0.131531531531532
"183" 0 0
"184" 0 0.00540540540540541
"185" 0 0.151351351351351
"186" 0.0108108108108108 0
"187" 0.0324324324324324 0
"188" 0 0
"189" 0 0.00540540540540541
"190" 0 0
"191" 0 0
"192" 0 0.0036036036036036
"193" 0.0468468468468468 0.100900900900901
"194" 0 0
"195" 0 0.00900900900900901
"196" 0 0.0144144144144144
"197" 0 0
"198" 0 0.203603603603604
"199" 0.0522522522522523 0.0126126126126126
"200" 0 0.0018018018018018
"201" 0 0
"202" 0 0
"203" 0 0.018018018018018
"204" 0 0
"205" 0 0
"206" 0 0.0306306306306306
"207" 0 0
"208" 0 0.0018018018018018
"209" 0 0
"210" 0 0.0414414414414414
"211" 0 0
"212" 0 0.0306306306306306
"213" 0 0.00720720720720721
"214" 0.0684684684684685 0.0612612612612613
"215" 0 0.131531531531532
"216" 0 0
"217" 0 0.00540540540540541
"218" 0 0
"219" 0.0036036036036036 0.313513513513514
"220" 0 0.0522522522522523
"221" 0 0
"222" 0 0.018018018018018
"223" 0 0
"224" 0 0
"225" 0 0
"226" 0 0.32972972972973
"227" 0.036036036036036 0.0018018018018018
"228" 0 0.0108108108108108
"229" 0 0
"230" 0 0.0162162162162162
"231" 0.00720720720720721 0.018018018018018
"232" 0 0
"233" 0 0.0540540540540541
"234" 0 0.0486486486486487
"235" 0 0
"236" 0 0
"237" 0 0
"238" 0 0
"239" 0 0.0126126126126126
"240" 0.0162162162162162 0.0036036036036036
"241" 0 0
