i yellow olivedrab orange cyan
236 0 0 0.01972342 0.005667649
237 0 0 0 0.01858989
238 0 0 0 0.003400589
239 0 0 0 0.01949671
240 0 0 0 0
241 0 0 0 0
242 0 0 0 0
243 0 0 0 0.215144
244 0 0 0 0
245 0 0 0.003854001 0.004080707
246 0 0 0 0
247 0 0 0 0
248 0 0 0.002040354 0
249 0 0 0 0.009748356
250 0 0 0 0
251 0 0 0.01745636 0.02085695
252 0 0 0 0.01178871
253 0 0 0.05554296 0.004987531
254 0 0 0.005440943 0
255 0.02584448 0 0 0.01201542
256 0 0 0 0
257 0 0 0 0.0006801179
258 0 0 0.003400589 0.2847427
259 0 0 0 0
260 0 0 0 0
261 0 0 0 0.008841533
262 0 0 0.004534119 0.009294944
263 0 0 0 0
264 0 0 0 0
265 0 0.008614827 0.04896849 0.08932215
266 0 0 0 0.009068238
267 0 0 0.07005214 0
268 0 0 0 0
269 0 0 0 0.001360236
270 0 0 0 0.01110859
271 0 0 0 0.007481297
272 0 0 0 0.002720472
273 0 0 0 0
274 0 0 0.00226706 0
275 0 0 0 0
276 0 0 0 0.006347767
277 0 0 0 0.003854001
278 0 0 0 0
279 0 0 0.01314895 0.01337565
280 0 0 0 0
281 0 0 0.213557 0
282 0 0 0 0.00113353
283 0 0 0.01836318 0.02901836
284 0 0 0 0.2591249
285 0 0 0.007254591 0.001586942
286 0 0 0.001813648 0
287 0 0 0 0.001813648
288 0 0 0 0
289 0.06506461 0 0 0.0646112
290 0 0 0.01564271 0
291 0 0 0 0.005214237
292 0 0 0 0
293 0 0 0.03241895 0
294 0 0.05463614 0.3201088 0.01949671
295 0 0 0.009068238 0.004760825
296 0 0 0 0
297 0 0 0 0
298 0 0 0.0006801179 0
299 0 0 0.06665155 0
300 0 0 0.003400589 0.006347767
301 0 0 0 0
302 0 0 0 0
303 0 0 0 0.004307413
304 0 0 0 0.005667649
305 0 0 0.004307413 0.03264566
306 0 0 0.01065518 0.07685332
307 0 0 0 0
308 0 0.001360236 0.01178871 0
309 0 0 0.02244389 0.05781002
310 0 0 0.003173883 0
311 0 0 0 0
312 0 0 0.006574473 0
313 0 0 0 0
314 0 0 0 0
315 0 0 0 0
316 0 0 0.02221718 0.007254591
317 0 0 0 0
318 0 0 0 0
319 0 0 0 0.007708003
320 0 0 0 0
321 0 0 0 0
322 0 0 0.01700295 0.04330084
323 0 0 0 0.01246883
324 0 0 0 0
325 0 0 0 0
326 0 0 0 0
327 0 0 0 0
328 0 0 0.003627295 0
329 0 0 0.002947178 0
330 0 0 0 0
331 0 0 0.005894355 0.006121061
332 0 0 0 0.2060757
333 0 0 0 0
334 0 0 0 0.06914532
335 0 0 0.003627295 0.03264566
336 0 0 0 0
337 0 0 0 0
338 0 0 0 0
339 0 0 0.004987531 0.003173883
340 0 0 0.003173883 0
341 0 0 0 0.02040354
342 0 0 0 0
343 0 0 0 0
344 0 0 0 0
345 0 0 0.01813648 0
346 0 0 0.03536613 0.007481297
