i yellow olivedrab orange cyan
265 0 0.04307413 0.01496259 0.05418273
266 0 0 0 0
267 0 0 0.02561777 0
268 0 0 0 0
269 0 0 0 0.0004534119
270 0 0 0 0.003173883
271 0 0 0 0
272 0 0 0 0
273 0 0 0 0
274 0 0 0 0.01382906
275 0 0 0 0
276 0 0 0 0.02425754
277 0 0 0 0
278 0 0 0 0
279 0 0.04715484 0 0.01790977
280 0 0 0 0
281 0 0 0.2371344 0
282 0 0 0 0.002720472
283 0 0 0 0.03695307
284 0 0 0 0.1435049
285 0 0.007934709 0 0
286 0 0 0 0.008161415
287 0 0 0 0
288 0 0 0 0
289 0.005214237 0 0 0.06438449
290 0 0 0 0
291 0 0 0 0.003400589
292 0 0 0 0
293 0 0.02856495 0.006801179 0
294 0 0.2090229 0.2722739 0
295 0 0 0 0
296 0 0 0 0
297 0 0 0 0
298 0 0 0 0
299 0 0 0 0
300 0 0 0 0
301 0 0 0 0
302 0 0 0 0
303 0 0 0 0
304 0 0 0 0
305 0 0 0 0.0113353
306 0 0 0 0.02584448
307 0 0 0 0
308 0 0.01450918 0 0
309 0 0 0 0.0646112
310 0 0 0 0.0006801179
311 0 0 0 0
312 0 0 0 0
313 0 0 0 0
314 0 0 0 0
315 0 0 0 0
316 0 0 0.004987531 0
317 0 0 0 0
318 0 0 0 0
319 0 0 0 0.006801179
320 0 0 0 0
321 0 0.005894355 0 0
322 0 0 0 0.02697801
323 0 0 0 0
324 0 0 0 0
325 0 0 0 0
326 0 0 0 0
327 0 0 0 0
328 0 0 0 0
329 0 0 0 0
330 0 0 0 0
331 0 0 0 0
332 0 0 0 0.138744
333 0 0 0 0
334 0 0 0 0.240535
335 0 0 0 0.011562
336 0 0 0 0
337 0 0 0 0
338 0 0 0 0
339 0 0 0 0
340 0 0 0 0
341 0 0 0 0.005214237
342 0 0 0 0
343 0 0 0 0.01428248
344 0 0 0 0
345 0 0 0 0
346 0 0 0.01881659 0
347 0 0 0 0
348 0 0 0 0
349 0 0 0 0
350 0 0 0 0.004080707
351 0 0 0 0
352 0 0 0.01382906 0.008614827
353 0 0 0 0
354 0 0 0 0
355 0 0 0 0
356 0.005667649 0 0 0.02403083
357 0 0 0 0.01541601
358 0.03672637 0 0 0.05531625
359 0 0 0 0.0006801179
360 0 0 0 0.003854001
361 0 0 0 0.00113353
362 0 0 0 0
363 0 0 0 0
364 0.008614827 0 0 0.261392
365 0 0 0 0.02947178
366 0 0 0 0.02403083
367 0 0.1047382 0.03355248 0
368 0.003627295 0 0 0.00226706
369 0 0 0 0.05032872
370 0 0 0 0
371 0 0 0 0.04058037
372 0 0 0 0
373 0 0 0 0
374 0 0 0 0
375 0 0.001360236 0 0.02720472
376 0.08660168 0 0 0.0113353
377 0 0 0 0
378 0 0 0 0
379 0 0 0.09090909 0
380 0 0 0 0
381 0 0 0 0
382 0 0.01654954 0.002720472 0
383 0 0 0 0
384 0 0 0 0
385 0.006347767 0 0.1623215 0.01428248
386 0 0 0 0.0417139
387 0.02516436 0 0 0.03536613
388 0 0 0 0
389 0 0 0 0.003854001
390 0 0 0 0
391 0 0 0 0
392 0 0 0 0
393 0 0 0 0
394 0 0 0 0
395 0 0 0 0.004307413
