i test.power
1 0.6957315
2 0.5797154
3 0.6362641
4 0.6351696
5 0.4498358
6 0.5848231
7 0.6030646
8 0.6326158
9 0.5388544
10 0.6023349
11 0.6296972
12 0.668734
13 0.6147391
14 0.6395476
15 0.6639912
16 0.6380883
17 0.6566946
18 0.6461146
19 0.6238599
20 0.6413718
21 0.6574243
22 0.615104
23 0.5687705
24 0.5822692
25 0.531193
26 0.6333455
27 0.572054
28 0.5133163
29 0.5567311
30 0.6136447
31 0.6183874
32 0.6183874
33 0.6121853
34 0.5282744
35 0.6286027
36 0.6260489
37 0.6045239
38 0.6782196
39 0.6311565
40 0.5939438
41 0.5961328
42 0.6260489
43 0.5516235
44 0.5125866
45 0.6074425
46 0.5038307
47 0.6585188
48 0.6311565
49 0.5165998
50 0.5954031
51 0.6132798
52 0.550529
53 0.6829624
54 0.6067129
55 0.6311565
56 0.655965
57 0.5702298
58 0.5027362
59 0.6497629
60 0.567676
61 0.5687705
62 0.6431959
63 0.6340752
64 0.6337103
65 0.6979205
66 0.5027362
67 0.6092667
68 0.6136447
69 0.6264137
70 0.6074425
71 0.5866472
72 0.4906968
73 0.5169646
74 0.6216709
75 0.5341116
76 0.6698285
77 0.6497629
78 0.4297702
79 0.6461146
80 0.511857
81 0.5687705
82 0.5946735
83 0.5833637
84 0.6698285
85 0.6760306
86 0.6508574
87 0.5614739
88 0.6625319
89 0.6446552
90 0.6632616
91 0.6293324
92 0.6256841
93 0.6621671
94 0.6384531
95 0.6355345
96 0.5596498
97 0.5994163
98 0.5713243
99 0.6618023
100 0.589201
101 0.5341116
102 0.5381248
103 0.632251
104 0.632251
105 0.5589201
106 0.675301
107 0.6183874
