i typeI.0 typeI.2
274 0.005214237 0.000226706
275 0.00226706 0.01927001
276 0 0.00113353
277 0.002947178 0.2262526
278 0 0
279 0.000226706 0.03627295
280 0.07730673 0.02153707
281 0 0.01836318
282 0 0.000226706
283 0 0.0004534119
284 0 0.007481297
285 0 0.02539107
286 0 0.004987531
287 0.008841533 0.03536613
288 0.001360236 0.01042847
289 0.07685332 0.02856495
290 0.00952165 0.06030379
291 0.01790977 0.01269553
292 0.01949671 0.0009068238
293 0.0004534119 0.01178871
294 0 0.0004534119
295 0.06506461 0.3203355
296 0 0.007934709
297 0.0004534119 0.02697801
298 0 0.003173883
299 0.02448424 0.07503967
300 0 0.02607119
301 0 0.007708003
302 0 0.02788483
303 0 0.001586942
304 0.000226706 0.003854001
305 0.009748356 0.02312401
306 0.003627295 0.2641124
307 0 0
308 0.002720472 0.0380866
309 0.1124462 0.005894355
310 0.01790977 0.008614827
311 0 0.01382906
312 0.001813648 0.01020177
313 0 0.007027885
314 0 0.008161415
315 0.01269553 0.001813648
316 0 0.04420766
317 0 0.003400589
318 0.05803673 0.04262072
319 0 0.08342779
320 0.002040354 0
321 0.009748356 0.07889367
322 0 0.0607572
323 0 0.2849694
324 0 0.005214237
325 0 0.09703015
326 0 0.01722965
327 0.0004534119 0.05168896
328 0 0.06166402
329 0 0.0759465
330 0 0.005667649
331 0.08410791 0.09317615
332 0 0.01790977
333 0 0
334 0 0.02788483
335 0.01677624 0.002720472
336 0.000226706 0.006574473
337 0.0006801179 0.008841533
338 0.03128542 0.01428248
339 0 0
340 0.0004534119 0.01042847
341 0.0004534119 0.04035366
342 0.002947178 0.005894355
343 0.01178871 0.007027885
344 0.03173883 0.007254591
345 0 0.0988438
346 0 0.005440943
347 0.04602131 0.0378599
348 0.008614827 0.005894355
349 0 0.002720472
350 0 0.001813648
351 0 0.01654954
352 0 0
353 0 0.003400589
354 0 0.01496259
355 0 0.004987531
356 0 0
357 0 0
358 0.08433462 0.01246883
359 0 0.02629789
360 0 0.02516436
361 0 0
362 0 0.007708003
363 0.02380413 0.05010202
364 0 0.01609612
365 0.0006801179 0.04602131
366 0.000226706 0.02131036
367 0.001360236 0.004534119
368 0.004080707 0.01110859
369 0 0.008841533
370 0 0.005667649
371 0 0.002720472
372 0 0.01246883
373 0.09204262 0.01654954
374 0 0.00113353
375 0 0.04647472
376 0 0
377 0.001360236 0.002947178
378 0 0.00226706
379 0 0.07005214
380 0.001360236 0.01473589
381 0 0
382 0 0
383 0 0.003854001
384 0.000226706 0.003173883
385 0 0.004080707
386 0 0
387 0.0004534119 0.01677624
388 0 0.008161415
389 0 0.06325096
390 0.01654954 0.011562
391 0.006347767 0.09748356
392 0 0.03309907
393 0 0
394 0 0.006121061
395 0.06325096 0.07776015
396 0 0.0457946
397 0 0.01292224
398 0 0.01382906
399 0 0.02153707
400 0 0.01813648
401 0 0.008841533
402 0 0.03015189
403 0 0.03922013
404 0.0004534119 0.01360236
405 0 0.01995012
406 0 0.03899343
407 0.002947178 0.0265246
408 0 0.003854001
409 0.02856495 0.02176377
410 0.0190433 0.00226706
411 0.0532759 0.04420766
412 0.00113353 0.004534119
413 0 0.04602131
414 0.006801179 0.02765813
415 0.004307413 0.2418953
416 0.6166402 0.3459533
417 0.008841533 0
418 0 0.0004534119
419 0 0.004307413
420 0.001586942 0.01201542
421 0 0
422 0 0.04148719
423 0.01677624 0.06755838
424 0 0.005440943
425 0 0.02085695
426 0.001360236 0.03332578
427 0 0
428 0.05985037 0
429 0 0.009975062
430 0 0.02108365
431 0 0.001360236
432 0.0009068238 0.02040354
433 0 0.0004534119
434 0.0759465 0.01654954
435 0.000226706 0.02153707
436 0 0.001586942
437 0 0.0006801179
438 0.000226706 0.05894355
439 0 0.03944684
440 0 0.02403083
441 0.07889367 0.1029245
442 0 0.008841533
443 0 0.003173883
444 0.001360236 0.01020177
445 0 0.006347767
446 0 0.009294944
447 0 0.02629789
