i typeI.0 typeI.2
1 0 0
2 0 0.1354724
3 0 0
4 0 0
5 0 0
6 0.09982175 0.01782531
7 0 0.03921569
8 0 0
9 0 0.254902
10 0 0.07843137
11 0 0
12 0.02673797 0.001782531
13 0 0.0516934
14 0 0
15 0 0.06595365
16 0 0.01069519
17 0 0.02139037
18 0 0
19 0 0.4117647
20 0.09982175 0
21 0 0.007130125
22 0.2620321 0.3636364
23 0 0.01426025
24 0 0
25 0 0.08377897
26 0 0.04278075
27 0 0
28 0 0.003565062
29 0.03386809 0.01247772
30 0 0.03208556
31 0 0.01604278
32 0 0
33 0 0
34 0 0.007130125
35 0 0
36 0 0
37 0.005347594 0
38 0.01782531 0.4367201
39 0 0.06060606
40 0 0.04812834
41 0 0.04099822
42 0.06417112 0.04812834
43 0 0
44 0 0.03030303
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0.003565062
50 0.01604278 0.003565062
51 0 0
52 0 0
53 0 0.01069519
54 0.003565062 0.005347594
55 0.04099822 0.3761141
56 0 0.01960784
57 0.005347594 0.003565062
58 0 0.02673797
59 0 0
60 0 0.02317291
61 0.1782531 0.005347594
62 0 0
63 0.007130125 0.04099822
64 0 0.001782531
65 0 0.005347594
66 0.005347594 0.4349376
67 0 0
68 0.007130125 0
69 0 0
70 0 0
71 0.03743316 0.04278075
72 0 0
73 0 0
74 0 0
75 0 0.02317291
76 0.02673797 0.4652406
77 0.005347594 0
78 0.08199643 0.1818182
79 0 0.04099822
80 0.1016043 0
81 0 0.001782531
82 0.01069519 0.03386809
83 0 0.001782531
84 0.2067736 0.0285205
85 0 0.001782531
86 0 0.007130125
87 0 0
88 0.1550802 0.07308378
89 0 0.04099822
90 0 0
91 0.005347594 0
92 0 0.005347594
93 0 0
94 0 0.02317291
95 0.2299465 0.01069519
96 0 0.01604278
97 0 0.08377897
98 0.01782531 0
99 0.1818182 0.1871658
100 0 0.001782531
101 0 0
102 0 0.4278075
103 0 0
104 0.1532977 0.0516934
105 0 0
106 0 0
107 0 0
108 0 0.005347594
109 0 0
110 0 0.01247772
111 0 0.0285205
112 0 0.007130125
113 0 0.01247772
114 0 0.02673797
115 0 0
116 0.005347594 0
117 0.1586453 0.02317291
118 0 0.01782531
119 0 0.04456328
120 0 0
121 0 0.0285205
122 0 0
123 0 0.06060606
124 0 0.0855615
125 0 0
126 0.08912656 0.005347594
127 0.03208556 0
128 0.42959 0.4919786
129 0.04456328 0.4188948
130 0 0
131 0 0.06951872
132 0 0.04456328
133 0.1568627 0.09982175
134 0 0
135 0 0
136 0 0
137 0.01426025 0.0285205
138 0 0.001782531
139 0 0
140 0.005347594 0.09090909
141 0 0
142 0.001782531 0.02317291
143 0 0
144 0.3190731 0.3672014
145 0 0
146 0 0.01069519
147 0 0
148 0 0.003565062
149 0 0.4759358
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0.04634581 0.02317291
158 0 0
159 0 0
160 0.09982175 0.02317291
161 0 0
162 0.04812834 0.01426025
163 0 0.1051693
164 0 0
165 0.06773619 0.2673797
166 0 0
167 0 0
168 0 0.01604278
169 0 0.02495544
170 0 0.02317291
171 0 0.03386809
172 0 0.03386809
173 0 0
174 0 0.02139037
175 0 0
176 0 0.0285205
177 0 0.01960784
178 0 0.01960784
179 0 0.003565062
180 0.06238859 0.0516934
181 0 0
182 0 0
183 0 0.04278075
184 0 0
185 0.02673797 0.04278075
186 0 0.06060606
187 0 0.0855615
188 0.01782531 0
189 0 0
190 0 0
191 0 0.003565062
192 0 0
193 0 0.03030303
194 0 0.01069519
195 0.01069519 0
196 0 0.09803922
197 0.04634581 0.01247772
198 0.001782531 0
199 0 0
200 0 0
201 0 0
202 0.09090909 0.1283422
203 0 0.005347594
204 0 0.005347594
205 0 0.003565062
206 0.03386809 0.01960784
207 0 0
208 0 0
209 0 0
210 0.07308378 0.07664884
211 0 0
212 0 0
213 0 0.01960784
214 0 0
215 0.03208556 0.001782531
216 0 0
217 0 0
218 0 0
219 0.04456328 0
220 0.1087344 0.04456328
221 0 0.1016043
222 0.1336898 0
223 0 0
224 0 0
225 0.005347594 0
226 0.003565062 0.01069519
227 0 0.01426025
228 0 0
229 0 0
230 0 0.001782531
231 0.001782531 0.09803922
232 0.0285205 0.003565062
233 0.03386809 0.4759358
234 0 0.06773619
235 0 0
236 0.09803922 0.02317291
237 0.001782531 0.09269162
238 0.02673797 0.01782531
239 0 0
240 0 0.01604278
241 0 0.007130125
242 0 0
243 0 0
244 0.03030303 0.003565062
245 0 0.001782531
246 0 0
247 0 0
248 0 0
249 0 0.007130125
250 0 0.02139037
251 0 0.003565062
252 0 0
253 0 0.02495544
254 0 0.06060606
255 0 0
256 0.02139037 0
257 0.04278075 0
258 0 0.01782531
259 0 0.01782531
260 0 0.01069519
261 0 0
262 0 0
263 0 0.1016043
264 0 0.003565062
265 0 0
266 0.01960784 0.06595365
267 0 0.005347594
268 0 0.08377897
269 0 0
270 0 0.04991087
271 0 0.003565062
272 0.04634581 0.03208556
273 0 0.008912656
274 0 0
275 0 0.003565062
276 0 0.003565062
277 0 0.1818182
278 0 0
279 0 0.04812834
280 0 0.4171123
281 0.001782531 0
282 0 0.1925134
283 0 0
284 0 0
285 0 0
286 0 0.003565062
287 0 0.02317291
288 0 0
289 0.01604278 0.008912656
290 0.02139037 0.03208556
291 0 0
292 0 0
293 0 0
294 0.01782531 0.02317291
295 0.4491979 0.4937611
296 0 0
297 0 0.01247772
298 0 0.01426025
299 0.005347594 0.1639929
300 0 0
301 0.02673797 0.01604278
302 0 0.008912656
303 0 0
304 0 0.007130125
305 0 0
306 0.008912656 0.1301248
307 0 0
308 0.03565062 0.06773619
309 0.08734403 0.06773619
310 0 0.03386809
311 0 0.03565062
312 0 0
313 0 0
314 0 0
315 0 0
316 0 0
317 0.4973262 0.4581105
318 0.02139037 0.01782531
319 0.05882353 0.01426025
320 0.003565062 0
321 0 0.008912656
322 0 0
323 0 0.003565062
324 0 0
325 0.03743316 0.2869875
326 0.005347594 0
327 0 0
328 0 0.01069519
329 0 0.01426025
330 0.02495544 0.003565062
331 0 0.02495544
332 0 0
333 0 0
334 0 0
335 0 0
336 0 0.005347594
337 0 0
338 0 0
339 0 0.001782531
340 0 0.01069519
341 0 0
342 0 0
343 0 0
344 0 0.07843137
345 0 0
346 0 0.01960784
347 0 0
348 0 0.03743316
349 0 0
350 0 0.3939394
351 0 0.01247772
352 0 0
353 0.005347594 0.01782531
354 0 0
355 0 0
356 0 0
357 0 0.0285205
358 0 0.01069519
359 0 0.3903743
360 0 0
361 0 0
362 0.01782531 0.007130125
363 0 0
364 0 0.007130125
365 0 0.4723708
366 0 0
367 0.02495544 0.007130125
368 0.007130125 0.007130125
369 0.003565062 0
370 0 0
371 0 0
372 0 0.06595365
373 0 0.01604278
374 0.0516934 0.02495544
375 0 0
376 0 0.0516934
377 0 0
378 0 0.001782531
379 0 0
380 0 0.02139037
381 0.07130125 0.4581105
382 0 0
383 0 0
384 0 0
385 0 0.01604278
386 0 0.02139037
387 0 0
388 0 0
389 0 0
390 0 0
391 0 0
392 0 0
393 0 0
394 0 0
395 0 0
396 0 0.003565062
397 0.08734403 0.2049911
398 0 0
399 0 0
400 0 0.02139037
401 0 0
402 0 0
403 0 0
404 0 0
405 0 0
406 0 0
407 0 0
408 0 0
409 0 0.005347594
410 0 0.03921569
411 0 0.008912656
412 0.04456328 0
413 0 0
414 0.06773619 0.06595365
415 0 0
416 0.08734403 0.4242424
417 0 0
418 0 0
419 0 0
420 0 0.04991087
421 0 0.08199643
422 0 0
423 0 0.005347594
424 0.03743316 0.008912656
425 0 0
426 0.001782531 0.003565062
427 0 0
428 0.01247772 0.001782531
429 0 0.02673797
430 0.01069519 0.007130125
431 0 0.003565062
432 0 0.02673797
433 0 0
434 0.01960784 0.01247772
435 0 0
436 0 0
437 0 0
438 0.005347594 0
439 0.1212121 0.01069519
440 0 0
441 0 0.06595365
442 0 0
443 0.005347594 0
444 0.005347594 0.1426025
445 0 0
446 0 0.01426025
447 0 0
448 0 0
449 0 0
450 0 0
451 0 0
452 0 0.1069519
453 0.04634581 0.001782531
454 0.003565062 0
455 0 0
456 0 0
457 0 0
458 0 0
459 0.007130125 0
460 0.2067736 0.01782531
461 0.001782531 0.02139037
462 0 0
463 0 0.003565062
464 0.008912656 0
465 0 0
466 0.07308378 0
467 0 0.01604278
468 0 0.008912656
469 0.005347594 0
470 0 0.4010695
471 0.03386809 0.003565062
472 0.01247772 0.01069519
473 0 0.01782531
474 0 0
475 0.144385 0.04812834
476 0 0
477 0 0.0285205
478 0.08912656 0.01960784
479 0.08377897 0.007130125
480 0 0
481 0 0
482 0 0
483 0.007130125 0.06595365
484 0.001782531 0
485 0 0.008912656
486 0 0
487 0.04991087 0
488 0.01960784 0.003565062
489 0 0.02673797
490 0 0
491 0 0.01069519
492 0 0
493 0 0
494 0.08377897 0.02139037
495 0 0.01426025
496 0 0
497 0 0.1122995
498 0.08734403 0.04812834
499 0 0
500 0 0.01247772
501 0 0.003565062
502 0 0
503 0 0.2317291
504 0 0
505 0 0
506 0.02495544 0.1247772
507 0 0
508 0 0
509 0.007130125 0
510 0 0.07130125
511 0 0
512 0.2263815 0.02673797
513 0 0.057041
514 0 0
515 0 0.09090909
516 0 0.02673797
517 0 0.01782531
518 0 0.003565062
519 0 0
520 0 0.04991087
521 0 0
522 0 0.06951872
523 0 0
524 0 0.003565062
525 0 0.005347594
526 0.01782531 0
527 0 0
528 0 0.001782531
529 0 0
530 0 0.005347594
531 0.03208556 0.01960784
532 0 0
533 0 0
534 0.005347594 0.4688057
535 0 0
536 0 0
537 0.1942959 0.5098039
538 0.005347594 0
539 0 0.1301248
540 0 0.007130125
541 0.007130125 0.05882353
542 0 0
543 0 0.005347594
544 0 0
545 0 0.01782531
546 0 0.005347594
547 0.3351159 0.07130125
548 0 0
549 0 0
550 0 0.03030303
551 0 0
552 0.1176471 0.008912656
553 0 0.02495544
554 0 0.001782531
555 0 0
556 0 0
557 0 0
558 0 0.003565062
559 0 0.007130125
560 0 0.04278075
561 0 0.01782531
562 0.1568627 0.04456328
563 0 0.114082
564 0 0
565 0 0
566 0.005347594 0
567 0.005347594 0.01247772
568 0 0
569 0 0
570 0 0.007130125
571 0 0
572 0.1033868 0.02317291
573 0 0
574 0.02139037 0.01960784
575 0 0.04812834
576 0 0
577 0 0
578 0.1622103 0.4420677
579 0 0
580 0 0.003565062
581 0 0
582 0.06951872 0.1372549
583 0 0.08734403
584 0.1836007 0.0516934
585 0 0
586 0 0.001782531
587 0.1372549 0.06951872
588 0 0
589 0 0
590 0 0
591 0 0.005347594
592 0 0
593 0 0.008912656
594 0.01782531 0.05882353
595 0 0.01604278
596 0 0.01069519
597 0 0
598 0.02317291 0.03743316
599 0 0
600 0 0.003565062
601 0 0
602 0.09803922 0.03743316
603 0 0
604 0 0
605 0.04099822 0
606 0 0.01960784
607 0.02139037 0.0285205
608 0 0
609 0.01069519 0
610 0 0
611 0 0.03565062
612 0 0.4491979
613 0.001782531 0.005347594
614 0.1960784 0.04634581
615 0 0.003565062
616 0 0.02317291
617 0.01604278 0
618 0 0
619 0 0
620 0 0.0285205
621 0.01782531 0.01960784
622 0 0
623 0.1622103 0.04099822
624 0 0.001782531
625 0 0
626 0 0.03565062
627 0 0
628 0 0
629 0 0
630 0 0
631 0 0
632 0 0
633 0 0.01069519
634 0 0.3743316
635 0 0.003565062
636 0 0.008912656
637 0 0
638 0 0
639 0.02495544 0.0802139
640 0 0
641 0.3547237 0
642 0 0
643 0 0.01782531
644 0 0.03386809
645 0.005347594 0.008912656
646 0.254902 0.05882353
647 0 0.03030303
648 0.07486631 0.04099822
649 0 0.01782531
650 0 0.0802139
651 0.03921569 0.04812834
652 0 0.01069519
653 0 0
654 0.001782531 0.01426025
655 0 0
656 0 0.3636364
657 0 0.06060606
658 0 0.0516934
659 0 0.01782531
660 0 0
661 0.1105169 0.005347594
662 0 0
663 0.254902 0.3368984
664 0 0
665 0 0
666 0.1497326 0.1996435
