"i" "typeI.0" "typeI.2"
"913" 1157 0 0.01021103
"914" 1158 0 0.009303381
"915" 1159 0 0.03403676
"916" 1160 0.0004538235 0.1073292
"917" 1161 0 0.01021103
"918" 1162 0 0.03267529
"919" 1163 0 0.0009076469
"920" 1164 0 0.007261175
"921" 1165 0 0.002496029
"922" 1166 0.07397322 0.03154073
"923" 1167 0 0.01656456
"924" 1168 0.002496029 0.01293397
"925" 1169 0.001134559 0.09507602
"926" 1170 0 0
"927" 1171 0.005899705 0.01202632
"928" 1172 0.02995235 0.0009076469
"929" 1173 0 0
"930" 1174 0 0.008395734
"931" 1175 0.00521897 0.007034264
"932" 1176 0.01225323 0.06875425
"933" 1177 0.002949853 0.2477876
"934" 1178 0.009984116 0.009303381
"935" 1179 0.002722941 0.02178353
"936" 1180 0.001815294 0.008622646
"937" 1181 0.007714999 0.003857499
"938" 1182 0.03812117 0.02019514
"939" 1183 0 0.006353528
"940" 1184 0 0.001134559
"941" 1185 0 0.002722941
"942" 1186 0 0
"943" 1187 0.0006807352 0.02541411
"944" 1188 0.0004538235 0.002269117
"945" 1189 0.002496029 0.009530293
"946" 1190 0 0.009984116
"947" 1191 0.01724529 0.04697073
"948" 1192 0.003176764 0.002269117
"949" 1193 0 0
"950" 1194 0 0.00136147
"951" 1195 0 0.03063308
"952" 1196 0 0.023145
"953" 1197 0.001134559 0.003176764
"954" 1198 0 0.01474926
"955" 1199 0 0.009303381
"956" 1200 0 0
"957" 1201 0 0.003630588
"958" 1202 0 0.001134559
"959" 1203 0 0.0002269117
"960" 1204 0.002722941 0.009530293
"961" 1205 0.0004538235 0.02405264
"962" 1206 0 0.01270706
"963" 1207 0 0.0006807352
"964" 1208 0 0
"965" 1209 0.02609485 0.03222147
"966" 1210 0 0.002496029
"967" 1211 0.0009076469 0.001815294
"968" 1212 0.0006807352 0.03948264
"969" 1213 0 0.01974132
"970" 1214 0 0
"971" 1215 0.04334014 0.04175176
"972" 1216 0 0.02768323
"973" 1217 0 0.004992058
"974" 1218 0 0.008622646
"975" 1219 0 0.01974132
"976" 1220 0 0.00658044
"977" 1221 0 0.0009076469
"978" 1222 0 0.3292489
"979" 1223 0 0.0251872
"980" 1224 0.008622646 0.01906059
"981" 1225 0 0
"982" 1226 0 0.001815294
"983" 1227 0 0.02859088
"984" 1228 0.1772181 0.282732
"985" 1229 0 0.0002269117
"986" 1230 0.0002269117 0
"987" 1231 0 0.0002269117
"988" 1232 0.02405264 0.09757204
"989" 1233 0.04515543 0.3321988
"990" 1234 0.0251872 0.007261175
"991" 1235 0 0.01316088
"992" 1236 0 0.003857499
"993" 1237 0 0.04628999
"994" 1238 0 0.00136147
"995" 1239 0 0
"996" 1240 0 0
"997" 1241 0 0.002496029
"998" 1242 0.01906059 0.3117767
"999" 1243 0 0.01974132
"1000" 1244 0 0.001134559
