"i" "typeI.0" "typeI.2"
"210" 454 0.0006807352 0.004311323
"211" 455 0 0.06739278
"212" 456 0 0.007488087
"213" 457 0.0006807352 0
"214" 458 0 0.01225323
"215" 459 0 0.004311323
"216" 460 0.008849558 0.0009076469
"217" 461 0 0.001815294
"218" 462 0 0.06920808
"219" 463 0.06285455 0.02496029
"220" 464 0 0.003403676
"221" 465 0 0.01202632
"222" 466 0.003403676 0
"223" 467 0.0009076469 0.01066485
"224" 468 0 0.01996823
"225" 469 0.006126617 0.007941911
"226" 470 0 0.001815294
"227" 471 0 0.0009076469
"228" 472 0.00136147 0.0465169
"229" 473 0 0.0006807352
"230" 474 0.003403676 0.003403676
"231" 475 0.09053778 0.004311323
"232" 476 0.0174722 0.2915816
"233" 477 0.1565691 0.0560472
"234" 478 0 0
"235" 479 0 0
"236" 480 0 0
"237" 481 0 0.09552984
"238" 482 0.003176764 0.023145
"239" 483 0 0.2607216
"240" 484 0 0.007261175
"241" 485 0 0
"242" 486 0.002042206 0.01815294
"243" 487 0 0.003630588
"244" 488 0 0
"245" 489 0 0.004765146
"246" 490 0 0.2720672
"247" 491 0.001134559 0.00521897
"248" 492 0.005899705 0.01860676
"249" 493 0 0.04515543
"250" 494 0 0
"251" 495 0 0.04492852
"252" 496 0 0.003176764
"253" 497 0.007714999 0.07533469
"254" 498 0 0.02927161
"255" 499 0.06920808 0.03812117
"256" 500 0 0.01769912
"257" 501 0.001134559 0.004992058
"258" 502 0 0.02745632
"259" 503 0 0.2890855
"260" 504 0 0.008849558
"261" 505 0.003403676 0
"262" 506 0.0004538235 0.03380985
"263" 507 0 0.007261175
"264" 508 0 0
"265" 509 0 0.0004538235
"266" 510 0 0.007941911
"267" 511 0.003630588 0.01089176
"268" 512 0.1177672 0.0115725
"269" 513 0.00658044 0.009530293
"270" 514 0 0.02427956
"271" 515 0 0.04424779
"272" 516 0 0.002269117
"273" 517 0 0.00521897
"274" 518 0.0004538235 0.03585205
"275" 519 0.01043794 0.006126617
"276" 520 0 0
"277" 521 0 0.0002269117
"278" 522 0 0.004992058
"279" 523 0 0.01679147
"280" 524 0 0.06898117
"281" 525 0 0.004992058
"282" 526 0 0.00136147
"283" 527 0.0004538235 0.01406853
"284" 528 0.008168822 0.09303381
