"i" "test.power"
"269" 269 0.4481977
"270" 270 0.4452505
"271" 271 0.4216731
"272" 272 0.5128089
"273" 273 0.4189526
"274" 274 0.4676944
"275" 275 0.4701882
"276" 276 0.4824303
"277" 277 0.5282249
"278" 278 0.4293811
"279" 279 0.2693267
"280" 280 0.4146452
"281" 281 0.4704149
"282" 282 0.4416232
"283" 283 0.420993
"284" 284 0.444117
"285" 285 0.4735888
"286" 286 0.4398096
"287" 287 0.440263
"288" 288 0.4851508
"289" 289 0.4890048
"290" 290 0.4262072
"291" 291 0.4738155
"292" 292 0.4321016
"293" 293 0.4996599
"294" 294 0.4756291
"295" 295 0.4314214
"296" 296 0.5032872
"297" 297 0.4758558
"298" 298 0.4411698
"299" 299 0.5338925
"300" 300 0.4561324
"301" 301 0.4842439
"302" 302 0.3248696
"303" 303 0.4466107
"304" 304 0.4828837
"305" 305 0.4513716
"306" 306 0.4298345
"307" 307 0.3597824
"308" 308 0.4899116
"309" 309 0.4565858
"310" 310 0.5103151
"311" 311 0.4438903
"312" 312 0.4801632
"313" 313 0.4280209
"314" 314 0.2350941
"315" 315 0.4887781
"316" 316 0.3990025
"317" 317 0.4475176
"318" 318 0.2788483
"319" 319 0.4461573
"320" 320 0.4856042
"321" 321 0.4731353
"322" 322 0.465654
"323" 323 0.1611879
"324" 324 0.4438903
"325" 325 0.2554976
"326" 326 0.4291544
"327" 327 0.4538653
"328" 328 0.4948991
"329" 329 0.4436636
"330" 330 0.3958286
"331" 331 0.4658808
"332" 332 0.3683972
"333" 333 0.4794831
"334" 334 0.3581954
"335" 335 0.4352754
"336" 336 0.5035139
"337" 337 0.4545455
"338" 338 0.1963274
"339" 339 0.4450238
"340" 340 0.3869871
"341" 341 0.4819769
"342" 342 0.4169123
"343" 343 0.1836318
"344" 344 0.4173657
"345" 345 0.4624802
"346" 346 0.3926547
"347" 347 0.415552
"348" 348 0.4919519
"349" 349 0.4343686
"350" 350 0.5103151
"351" 351 0.4060304
"352" 352 0.4783496
"353" 353 0.4064838
"354" 354 0.4663342
"355" 355 0.5053276
"356" 356 0.4588529
"357" 357 0.4198594
"358" 358 0.4416232
"359" 359 0.4808433
"360" 360 0.3495806
"361" 361 0.4797098
"362" 362 0.5023804
"363" 363 0.4409431
"364" 364 0.4221265
"365" 365 0.4964861
"366" 366 0.4577193
"367" 367 0.463387
"368" 368 0.3561551
"369" 369 0.3049195
