i TypeI_0 TypeI_2
801 0 0.01543
802 0 0.005445882
803 0 0.001134559
804 0.04402088 0.2763785
805 0.03471749 0.03562514
806 0.02473338 0.03766735
807 0.0002269117 0.02496029
808 0 0.005899705
809 0 0.02473338
810 0 0.009984116
811 0 0.004538235
812 0 0.06466984
813 0 0.02632176
814 0 0.006126617
815 0 0.001134559
816 0 0.007488087
817 0 0.0002269117
818 0 0
819 0 0.04402088
820 0 0.02359882
821 0 0
822 0.02291808 0.03517132
823 0.05128205 0.07510778
824 0.04379396 0.04583617
825 0 0.2566372
826 0 0.00136147
827 0.006353528 0.03312911
828 0 0.02064897
829 0.01656456 0.03517132
830 0 0.0006807352
831 0 0.009530293
832 0 0.00136147
833 0.03721352 0.1268437
834 0 0.01179941
835 0 0.009076469
836 0 0.03562514
837 0 0
838 0 0.02087588
839 0 0
840 0 0.003857499
841 0 0.2965736
842 0 0.0004538235
843 0.0002269117 0.01338779
844 0 0.009303381
845 0 0
846 0 0.005899705
847 0 0.03335602
848 0.0006807352 0
849 0 0.0006807352
850 0 0.007941911
851 0 0.002269117
852 0 0.03471749
853 0 0.0002269117
854 0.01429544 0.03017926
855 0 0
856 0 0.01543
857 0 0.01679147
858 0 0.01974132
859 0 0.0009076469
860 0 0.004084411
861 0 0.27774
862 0 0.003403676
863 0.001588382 0.09825278
864 0.01724529 0.01338779
865 0 0.006353528
866 0 0.006807352
867 0 0.01248015
868 0 0.001134559
869 0 0
870 0 0.002269117
871 0 0.03585205
872 0 0.01951441
873 0.006126617 0.00136147
874 0 0.01974132
875 0 0.04878602
876 0.008622646 0.008168822
877 0.002042206 0
878 0 0
879 0 0.00658044
880 0 0.01837985
881 0 0.02450647
882 0.05014749 0.01588382
883 0 0.003630588
884 0.1710914 0.02223735
885 0 0
886 0 0.01406853
887 0 0.002269117
888 0 0.01066485
889 0.001134559 0.04855911
890 0 0.03312911
891 0 0.01701838
892 0 0
893 0 0.00136147
894 0.04311323 0.007034264
895 0 0.04402088
896 0.0002269117 0.1597459
897 0.03948264 0.01429544
898 0 0.00136147
899 0.06535058 0.007261175
900 0.001588382 0
901 0 0.007261175
902 0 0
903 0.009757204 0.006126617
904 0.0006807352 0.08486499
905 0.00136147 0.03222147
906 0 0.04606308
907 0.03471749 0.03970955
908 0 0
909 0 0.003403676
910 0.006126617 0
911 0 0.002949853
912 0.0465169 0.01270706
913 0 0.0006807352
914 0.0002269117 0.002269117
915 0.04992058 0.3260722
916 0 0.0002269117
917 0 0.004311323
918 0 0.0136147
919 0.0006807352 0.002269117
920 0 0.002269117
921 0 0.003857499
922 0.09189925 0.03789426
923 0.2402995 0.2895394
924 0 0.0009076469
925 0 0.0006807352
926 0.006807352 0.0696619
927 0 0.02496029
928 0.08963013 0.01906059
929 0 0
930 0.007714999 0.002949853
931 0.001134559 0.006353528
932 0 0.007714999
933 0 0.009984116
934 0 0.0006807352
935 0 0
936 0 0.01429544
937 0 0.04265941
938 0 0
939 0 0.01679147
940 0 0.0009076469
941 0 0.03789426
942 0 0.001134559
943 0.07261175 0.2500567
944 0.008849558 0.01293397
945 0 0
946 0 0.02427956
947 0 0.001588382
948 0 0.02496029
949 0.01202632 0.023145
950 0.01701838 0.06466984
951 0 0
952 0.0004538235 0.01452235
953 0 0.00521897
954 0.03653279 0.01565691
955 0 0.02473338
956 0.003176764 0
957 0 0.00521897
958 0.0251872 0
959 0 0.04402088
960 0.007488087 0.01134559
961 0.01179941 0.02405264
962 0.01996823 0.03789426
963 0.0006807352 0.2205582
964 0.02496029 0.07828455
965 0.2362151 0.0174722
966 0 0.008622646
967 0 0
968 0 0.203086
969 0 0.0174722
970 0 0
971 0.311096 0.2677558
972 0.0009076469 0.00136147
973 0.004538235 0.07760381
974 0 0
975 0.02087588 0
976 0 0.03449058
977 0 0.03539823
978 0.0009076469 0.004992058
979 0 0.001134559
980 0.004992058 0.001588382
981 0 0
982 0.002496029 0.08736102
983 0 0.01202632
984 0.00658044 0.06603131
985 0 0.003857499
986 0.0009076469 0.008622646
987 0 0.0004538235
988 0.01225323 0.05287043
989 0 0.009757204
990 0.04175176 0.02881779
991 0 0.03199455
992 0 0.3310642
993 0.003630588 0.009303381
994 0 0.005672793
995 0.02155661 0.002042206
996 0.001815294 0.01906059
997 0 0.01270706
998 0 0.005445882
999 0.001134559 0.0006807352
1000 0.00136147 0

