i TypeI_0 TypeI_2
801 0 0
802 0.004329004 0.09090909
803 0 0
804 0 0
805 0 0.03896104
806 0.01298701 0
807 0 0.004329004
808 0 0
809 0 0.01298701
810 0 0
811 0 0
812 0 0
813 0 0
814 0 0
815 0 0
816 0 0
817 0 0
818 0 0
819 0 0.004329004
820 0 0
821 0 0
822 0.008658009 0.004329004
823 0 0
824 0 0
825 0.05194805 0.1038961
826 0 0
827 0 0
828 0 0.5367965
829 0 0
830 0 0.1558442
831 0 0
832 0 0
833 0.01731602 0
834 0 0
835 0 0
836 0 0
837 0 0
838 0 0
839 0 0
840 0 0.08658009
841 0 0.2943723
842 0 0
843 0 0.07792208
844 0 0
845 0 0
846 0 0
847 0 0
848 0 0
849 0 0
850 0 0
851 0 0.004329004
852 0.1341991 0.004329004
853 0 0.1298701
854 0 0.1385281
855 0 0
856 0 0
857 0 0
858 0 0.04761905
859 0 0
860 0 0
861 0 0
862 0 0
863 0 0
864 0 0
865 0 0
866 0.1082251 0.4588745
867 0 0
868 0 0
869 0 0
870 0 0
871 0.1168831 0.3766234
872 0.2337662 0.3982684
873 0 0
874 0 0
875 0 0
876 0 0
877 0 0
878 0 0
879 0 0
880 0 0
881 0 0
882 0.06926407 0
883 0 0
884 0.03030303 0.01731602
885 0 0
886 0 0.004329004
887 0 0
888 0 0
889 0 0
890 0 0.03463203
891 0 0
892 0.008658009 0.01731602
893 0 0
894 0 0.1428571
895 0 0.03030303
896 0 0
897 0.2164502 0.6753247
898 0 0.004329004
899 0.1125541 0
900 0 0
901 0 0
902 0.05194805 0.08658009
903 0 0
904 0 0.03896104
905 0 0
906 0 0
907 0 0.4458874
908 0 0
909 0 0
910 0 0.07792208
911 0 0
912 0 0.01298701
913 0 0.03896104
914 0 0
915 0.1731602 0.1298701
916 0 0.004329004
917 0 0
918 0 0
919 0 0
920 0 0
921 0 0
922 0 0
923 0 0
924 0 0
925 0 0.01731602
926 0 0
927 0.01298701 0
928 0 0.004329004
929 0 0
930 0.1341991 0.03030303
931 0 0
932 0.01731602 0
933 0 0.1341991
934 0 0
935 0 0
936 0.2121212 0.1774892
937 0 0
938 0 0
939 0 0
940 0 0
941 0 0.06060606
942 0 0
943 0 0
944 0 0.1212121
945 0 0
946 0 0.004329004
947 0.1168831 0.01298701
948 0 0
949 0.1428571 0.06060606
950 0 0
951 0 0
952 0 0
953 0.01731602 0
954 0 0
955 0 0.06060606
956 0 0
957 0 0.004329004
958 0 0.01298701
959 0 0.03030303
960 0 0.06493506
961 0 0.05194805
962 0.1688312 0
963 0 0
964 0 0.06493506
965 0 0
966 0 0
967 0.2294372 0
968 0 0
969 0 0
970 0 0.01731602
971 0 0.5930736
972 0 0.06060606
973 0 0.008658009
974 0 0
975 0 0
976 0 0
977 0.4978355 0.6969697
978 0 0
979 0 0
980 0 0
981 0 0
982 0 0
983 0 0.008658009
984 0 0
985 0 0
986 0 0
987 0 0.06060606
988 0 0
989 0 0
990 0 0
991 0 0
992 0 0.07359307
993 0 0.6060606
994 0 0
995 0 0
996 0 0
997 0 0
998 0 0
999 0 0
1000 0 0

