i TypeI_0 TypeI_2
401 0.008395734 0.003630588
402 0 0.09303381
403 0.001815294 0.001815294
404 0.00136147 0.009303381
405 0 0.009076469
406 0.0009076469 0.0406172
407 0 0.004992058
408 0 0.004538235
409 0 0.008395734
410 0 0
411 0.07397322 0.04697073
412 0 0.004538235
413 0 0.1772181
414 0.0367597 0.02064897
415 0 0.0009076469
416 0.537327 0.3281144
417 0 0.002269117
418 0 0
419 0 0
420 0 0.007261175
421 0 0
422 0.009076469 0.0270025
423 0.02813705 0.01021103
424 0 0.003403676
425 0 0.001134559
426 0.004084411 0.003857499
427 0.00136147 0
428 0.07261175 0.002722941
429 0 0
430 0 0
431 0 0.01520309
432 0 0.008849558
433 0 0.0270025
434 0.04538235 0.0192875
435 0 0.004765146
436 0 0
437 0 0.01111867
438 0 0.02995235
439 0.001588382 0.1288859
440 0 0.005445882
441 0.01769912 0.004992058
442 0 0.1749489
443 0 0.006807352
444 0.0006807352 0.002949853
445 0 0.006126617
446 0 0.01316088
447 0 0.009303381
448 0.0002269117 0.01497617
449 0.0004538235 0.03539823
450 0 0
451 0 0
452 0.01701838 0.01384162
453 0.0004538235 0.004084411
454 0.0002269117 0.004311323
455 0 0.06875425
456 0 0.007261175
457 0.00136147 0
458 0 0.0115725
459 0 0.003630588
460 0.006807352 0.0009076469
461 0 0.002042206
462 0 0.06398911
463 0.06308146 0.02405264
464 0 0.003176764
465 0 0.01134559
466 0.003403676 0.002269117
467 0.0004538235 0.01338779
468 0.001588382 0.02042206
469 0.006126617 0.008395734
470 0 0.003630588
471 0 0
472 0.002042206 0.04742455
473 0 0
474 0.004538235 0.003857499
475 0.04311323 0.004311323
476 0.03471749 0.3029272
477 0.1425006 0.05196279
478 0 0
479 0 0
480 0 0
481 0 0.09621057
482 0.0009076469 0.01906059
483 0 0.2443839
484 0 0.04901293
485 0 0
486 0 0.01611073
487 0 0.004311323
488 0.0009076469 0
489 0 0.002722941
490 0 0.269798
491 0.00136147 0.005445882
492 0.0002269117 0.007714999
493 0 0.03970955
494 0 0
495 0 0.04402088
496 0 0.003630588
497 0.006126617 0.06807352
498 0 0.03471749
499 0.06217381 0.03698661
500 0 0.01815294
501 0 0.004084411
502 0 0.0251872
503 0 0.2836397
504 0 0.008622646
505 0.003630588 0
506 0.0009076469 0.0329022
507 0 0.004765146
508 0 0
509 0 0.0009076469
510 0 0.007488087
511 0 0.005445882
512 0.1139097 0.01111867
513 0.007941911 0.008849558
514 0 0.0251872
515 0 0.04379396
516 0 0.001588382
517 0 0.00521897
518 0.0004538235 0.03335602
519 0.01089176 0.006126617
520 0 0
521 0 0
522 0 0.004765146
523 0 0.01769912
524 0 0.05899705
525 0 0.005445882
526 0 0
527 0.0002269117 0.01225323
528 0.01021103 0.09053778
529 0 0.1050601
530 0 0.00136147
531 0 0.006126617
532 0 0.08985705
533 0.03154073 0.04107102
534 0 0.01179941
535 0 0.004084411
536 0 0.0002269117
537 0 0
538 0.009984116 0.008395734
539 0 0.0009076469
540 0 0.006126617
541 0.0004538235 0.01792603
542 0 0.005445882
543 0 0
544 0.03244838 0
545 0 0.0004538235
546 0 0.0004538235
547 0.09802587 0.2736555
548 0 0.02064897
549 0.01588382 0.005445882
550 0.00136147 0.023145
551 0 0.02291808
552 0 0.06308146
553 0 0.07125028
554 0 0.009530293
555 0 0.0002269117
556 0 0.0004538235
557 0 0.007034264
558 0.004992058 0.005672793
559 0.02995235 0.1994554
560 0 0
561 0 0.00521897
562 0 0.0002269117
563 0.0560472 0.002949853
564 0 0.03176764
565 0 0
566 0 0.04901293
567 0.003630588 0
568 0.06081234 0.03653279
569 0 0.04107102
570 0.01565691 0.02541411
571 0.005445882 0.01066485
572 0.05468573 0.004538235
573 0.01543 0.00136147
574 0.05332426 0.04152485
575 0.0002269117 0.01089176
576 0.09076469 0.002496029
577 0 0.01951441
578 0.04492852 0.02859088
579 0 0.007261175
580 0 0.002042206
581 0 0
582 0 0.003403676
583 0.001815294 0.02382573
584 0 0.03789426
585 0 0.0004538235
586 0 0.001588382
587 0 0
588 0 0.002269117
589 0.0006807352 0.006353528
590 0.003403676 0.006807352
591 0 0.003857499
592 0 0.002269117
593 0 0
594 0.06625823 0.04129794
595 0.118221 0.005672793
596 0 0.02269117
597 0 0
598 0 0
599 0.002269117 0.007941911
600 0 0.005445882

