i TypeI_0 TypeI_2
601 0 0
602 0.1033868 0.04099822
603 0 0
604 0 0
605 0.03743316 0
606 0 0.01604278
607 0.02495544 0.03030303
608 0 0
609 0.01247772 0.02495544
610 0 0
611 0 0.03208556
612 0 0.4491979
613 0.001782531 0.005347594
614 0.197861 0.04634581
615 0 0.008912656
616 0 0.01960784
617 0.02139037 0
618 0 0
619 0 0
620 0 0.03565062
621 0.01782531 0.03208556
622 0 0
623 0.1622103 0.03921569
624 0 0.001782531
625 0 0
626 0 0.03565062
627 0 0
628 0 0
629 0 0
630 0 0
631 0 0.01069519
632 0 0
633 0.001782531 0.005347594
634 0 0.3707665
635 0 0.003565062
636 0 0.007130125
637 0 0
638 0 0
639 0.02495544 0.0802139
640 0 0
641 0.3440285 0
642 0 0
643 0 0.01069519
644 0 0.03208556
645 0.005347594 0.008912656
646 0.2459893 0.05525847
647 0.01069519 0.04812834
648 0.07664884 0.04099822
649 0 0.01960784
650 0 0.0802139
651 0.03386809 0.03743316
652 0 0.001782531
653 0 0.001782531
654 0 0.008912656
655 0 0
656 0 0.3672014
657 0 0.04634581
658 0 0.0516934
659 0 0.02139037
660 0 0
661 0.1069519 0.005347594
662 0 0.001782531
663 0.2495544 0.2459893
664 0 0
665 0 0
666 0.1515152 0.1853832
667 0 0.001782531
668 0 0
669 0 0.1372549
670 0 0
671 0 0
672 0 0
673 0 0.0285205
674 0 0.003565062
675 0 0
676 0 0.06238859
677 0 0
678 0 0.03208556
679 0 0.04099822
680 0 0.02139037
681 0 0.04634581
682 0 0
683 0 0
684 0 0
685 0.04278075 0
686 0.01069519 0.001782531
687 0 0.3547237
688 0 0
689 0 0
690 0.03030303 0.05525847
691 0.01247772 0
692 0 0
693 0 0
694 0 0
695 0.005347594 0.007130125
696 0 0.07486631
697 0 0.01960784
698 0.01604278 0.001782531
699 0.008912656 0
700 0.02317291 0.09090909
701 0 0
702 0 0.01069519
703 0 0.02317291
704 0.01069519 0
705 0 0
706 0.05347594 0.03030303
707 0 0
708 0 0
709 0 0.03030303
710 0 0
711 0 0.005347594
712 0 0.003565062
713 0 0
714 0.007130125 0.4527629
715 0 0.03386809
716 0 0
717 0 0.001782531
718 0 0.01247772
719 0.01960784 0
720 0 0
721 0 0
722 0 0
723 0 0.09090909
724 0 0.01782531
725 0.1746881 0
726 0 0
727 0 0
728 0 0
729 0.003565062 0.04099822
730 0 0
731 0.005347594 0
732 0 0
733 0 0
734 0.003565062 0.057041
735 0.07486631 0.04456328
736 0.007130125 0.003565062
737 0 0.01426025
738 0 0.05882353
739 0 0.007130125
740 0 0
741 0 0
742 0 0.01960784
743 0 0
744 0 0.02317291
745 0 0
746 0 0.01604278
747 0 0.4188948
748 0 0.06595365
749 0.007130125 0.2352941
750 0 0
751 0 0
752 0 0.01604278
753 0.09447415 0.03208556
754 0 0.3458111
755 0 0
756 0 0
757 0 0
758 0 0.3137255
759 0 0
760 0.007130125 0
761 0 0.06238859
762 0 0.003565062
763 0 0.402852
764 0 0.003565062
765 0 0
766 0 0.04456328
767 0 0
768 0 0.008912656
769 0 0.001782531
770 0.007130125 0
771 0 0
772 0 0.007130125
773 0 0
774 0 0.01604278
775 0 0.003565062
776 0 0
777 0 0.03386809
778 0 0.001782531
779 0 0
780 0 0
781 0 0.008912656
782 0 0.02317291
783 0 0
784 0 0.001782531
785 0 0
786 0.07664884 0.1746881
787 0 0.02673797
788 0.07130125 0
789 0.1247772 0.03030303
790 0 0
791 0 0.01604278
792 0 0.03386809
793 0 0.0285205
794 0 0
795 0 0.001782531
796 0 0.04099822
797 0.01782531 0
798 0 0.01782531
799 0 0
800 0.02139037 0.4064171

