i TypeI_0 TypeI_2
1 0 0
2 0 0.1782531
3 0 0
4 0 0
5 0 0
6 0.06595365 0.001782531
7 0 0.0516934
8 0 0
9 0 0.2762923
10 0 0.07843137
11 0 0
12 0.02139037 0.001782531
13 0 0.04634581
14 0 0
15 0 0.05882353
16 0 0.01069519
17 0 0.01069519
18 0 0
19 0 0.3796791
20 0.09982175 0
21 0 0.01247772
22 0.254902 0.3404635
23 0 0.01247772
24 0 0
25 0 0.07843137
26 0 0.02139037
27 0 0
28 0 0.005347594
29 0.02495544 0.01782531
30 0 0.03565062
31 0 0.01069519
32 0 0
33 0 0
34 0 0.01247772
35 0 0
36 0 0
37 0.003565062 0
38 0.01960784 0.4474153
39 0 0.057041
40 0 0.04991087
41 0 0.03921569
42 0.03386809 0.05347594
43 0 0
44 0 0.03030303
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0.003565062
50 0.01426025 0.001782531
51 0 0
52 0 0
53 0 0.01069519
54 0 0.005347594
55 0.03030303 0.3190731
56 0 0.03208556
57 0.003565062 0
58 0 0.02673797
59 0 0
60 0 0.02317291
61 0.1889483 0.007130125
62 0 0
63 0.005347594 0.03743316
64 0 0.001782531
65 0 0.007130125
66 0 0.42959
67 0 0
68 0.007130125 0
69 0 0
70 0 0
71 0.03208556 0.03565062
72 0 0
73 0 0
74 0 0.007130125
75 0 0.0285205
76 0.01604278 0.4616756
77 0.005347594 0
78 0.08734403 0.1764706
79 0 0.04812834
80 0.1016043 0
81 0 0
82 0.007130125 0.02139037
83 0 0.001782531
84 0.2032086 0.02495544
85 0.001782531 0.001782531
86 0 0.001782531
87 0 0
88 0.1426025 0.07664884
89 0 0.03743316
90 0 0
91 0.001782531 0
92 0 0.01960784
93 0 0
94 0 0.02317291
95 0.2477718 0.01069519
96 0 0.01604278
97 0 0.09803922
98 0.01604278 0
99 0.1818182 0.2121212
100 0 0
101 0 0.001782531
102 0 0.4206774
103 0 0
104 0.1586453 0.0516934
105 0 0
106 0 0
107 0 0
108 0 0.008912656
109 0 0
110 0 0.01247772
111 0 0.02139037
112 0.001782531 0.005347594
113 0 0.007130125
114 0 0.03030303
115 0 0
116 0.005347594 0
117 0.2067736 0.03743316
118 0 0.01604278
119 0 0.04991087
120 0 0
121 0 0.0285205
122 0 0
123 0 0.05525847
124 0 0.07486631
125 0 0
126 0.08912656 0
127 0.01604278 0
128 0.4545455 0.486631
129 0.04991087 0.4188948
130 0 0
131 0 0.02495544
132 0 0.03208556
133 0.1639929 0.1016043
134 0 0
135 0 0
136 0 0
137 0.01782531 0.0285205
138 0 0.001782531
139 0 0
140 0.01604278 0.09090909
141 0 0
142 0.001782531 0.03565062
143 0 0
144 0.3190731 0.3565062
145 0 0
146 0 0.01247772
147 0 0
148 0 0.001782531
149 0.08377897 0.4723708
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0.04634581 0.02317291
158 0 0
159 0 0
160 0.08912656 0.02317291
161 0 0
162 0.05525847 0.008912656
163 0 0.08912656
164 0 0
165 0.05882353 0.05882353
166 0 0
167 0 0
168 0 0.01782531
169 0 0.02673797
170 0 0.02495544
171 0 0.01426025
172 0 0.03921569
173 0 0
174 0 0.02495544
175 0 0
176 0 0.0285205
177 0 0.01782531
178 0 0.01960784
179 0 0.005347594
180 0.06238859 0.04278075
181 0 0
182 0 0
183 0 0.04278075
184 0 0
185 0.0285205 0.03921569
186 0 0.06060606
187 0 0.08377897
188 0.01960784 0.001782531
189 0 0
190 0 0
191 0 0.003565062
192 0 0
193 0 0.02673797
194 0 0.007130125
195 0.008912656 0
196 0.001782531 0.08912656
197 0.05882353 0.008912656
198 0.007130125 0
199 0 0.001782531
200 0 0

