"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"78" "m4_0" 0.408 -28.3764768429121 -27.1070265841142 -24.899951245541
"79" "m4_1" 0.41 -29.0002774520597 -27.4531176378204 -25.1355290234822
"80" "m4_2" 0.394 -27.7233995973632 -24.7945483835718 -21.9371778721871
"81" "m4_m2" 0.422 -28.4863790381869 -27.4889574766651 -24.9525301837347
"82" "m4_m3" 0.414 -29.3398982208194 -27.596494093234 -24.5033881536252
"83" "m5_0" 0.422 -29.0575584725543 -27.7568542165874 -25.1448236329576
"84" "m5_1" 0.4 -28.8687747895574 -27.428847913432 -25.180904343295
"85" "m5_2" 0.496 -28.6210821846539 -26.2864971155527 -23.387993652114
"86" "m5_m1" 0.438 -28.9692150745194 -27.583383997213 -24.576034570824
"87" "m5_m2" 0.41 -29.0582499778973 -27.7885958177008 -25.042866179669
"88" "m6_0" 0.438 -28.9626682135089 -27.408910097493 -25.228699291147
"89" "m6_m1" 0.41 -28.835300633953 -27.4255284286145 -24.8790242073106
