"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_conditions"
"74" "m2_3" 0.37 -2.67133618130419 -0.880044082516346 1.32808638147789 "vd05vg05"
"75" "m2_4" 0.394 -2.77470172956986 -0.418278476400136 2.06535126892404 "vd05vg05"
"76" "m2_m1" 0.438 -3.18742838787301 -1.28821440468434 0.896153416352949 "vd05vg05"
"77" "m2_m2" 0.414 -2.78322349076149 -1.07538361094525 1.3985136857935 "vd05vg05"
"78" "m2_m3" 0.422 -2.6532770452148 -1.59829483973046 1.59513743501301 "vd05vg05"
"79" "m2_m4" 0.422 -3.05587316825018 -1.3151096604008 1.27989607706969 "vd05vg05"
"83" "m3_2" 0.374 -2.21657228582143 -0.30959545427865 2.44474901356164 "vd05vg05"
"84" "m3_3" 0.41 -2.4287511032083 -1.19065335151421 1.47328113699096 "vd05vg05"
"85" "m3_m1" 0.43 -2.6860577787823 -1.27294448795444 0.887707339135947 "vd05vg05"
"86" "m3_m2" 0.426 -2.68644270348615 -0.724471649631479 1.36696551341716 "vd05vg05"
"87" "m3_m3" 0.422 -2.80080013956263 -1.54213167126935 1.25198599893389 "vd05vg05"
"88" "m3_m4" 0.418 -3.11238520501103 -1.35962367728768 1.42233209073317 "vd05vg05"
"89" "m4_0" 0.408 -2.19715709247217 -0.927706833674243 1.27936850489893 "vd05vg05"
"90" "m4_1" 0.41 -2.82095770161976 -1.2737978873804 1.04379072695773 "vd05vg05"
"91" "m4_2" 0.394 -1.54407984692324 1.38477136686815 4.24214187825284 "vd05vg05"
"93" "m4_m2" 0.422 -2.30705928774692 -1.30963772622512 1.22678956670531 "vd05vg05"
"94" "m4_m3" 0.414 -3.16057847037944 -1.41717434279402 1.6759315968148 "vd05vg05"
"95" "m5_0" 0.422 -2.87823872211435 -1.57753446614748 1.03449611748234 "vd05vg05"
"96" "m5_1" 0.4 -2.68945503911744 -1.24952816299203 0.998415407144982 "vd05vg05"
"97" "m5_2" 0.496 -2.44176243421398 -0.107177365112737 2.79132609832597 "vd05vg05"
"98" "m5_m1" 0.438 -2.78989532407944 -1.40406424677301 1.60328517961595 "vd05vg05"
"99" "m5_m2" 0.41 -2.87893022745733 -1.60927606726088 1.13645357077097 "vd05vg05"
"101" "m6_0" 0.438 -2.78334846306893 -1.22959034705303 0.950620459292999 "vd05vg05"
"102" "m6_m1" 0.41 -2.65598088351302 -1.24620867817456 1.30029554312939 "vd05vg05"
"103" "0_0" 0.422 0.0719890981347646 0.834157622856537 3.49063367434888 "vd1vg05"
"104" "0_1" 0.414 1.46358520253247 3.71944718141333 6.29206691007735 "vd1vg05"
"105" "0_2" 0.39 0.238348323437904 1.33329135805977 3.65249712878586 "vd1vg05"
"109" "0_6" 0.398 0.237445660521193 1.07796352164119 3.71047549336682 "vd1vg05"
"110" "0_m1" 0.438 0.242224743390711 1.37364582724382 4.05252386765955 "vd1vg05"
"111" "0_m2" 0.394 -0.101715761384561 1.05862933663958 4.49035232486017 "vd1vg05"
"112" "0_m3" 0.402 0.720219078983519 1.12953766874724 4.51211959418257 "vd1vg05"
"113" "0_m4" 0.402 0.64394811503546 1.10339188744958 3.90349243070115 "vd1vg05"
"114" "0_m5" 0.434 1.03588502392118 1.58749740281057 4.59340583909101 "vd1vg05"
"115" "0_m6" 0.44 1.06231900368751 1.46279916043062 4.8488073265651 "vd1vg05"
"116" "0_m7" 0.398 1.05852371728351 1.4464732044706 5.0020999958041 "vd1vg05"
"117" "1_0" 0.414 0.0480064987697482 0.91640926138566 3.74417898558524 "vd1vg05"
"118" "1_1" 0.418 0.256671060003043 1.00150819755616 4.10799131513821 "vd1vg05"
"119" "1_2" 0.414 0.473520535652927 1.94960267715176 4.18964881282496 "vd1vg05"
"120" "1_3" 0.372 0.487680376961144 1.5711498430462 4.02115737053445 "vd1vg05"
"121" "1_4" 0.394 0.55358354900774 1.18596213605663 3.7457343292782 "vd1vg05"
"122" "1_5" 0.394 0.773358847442037 1.30477702951782 4.20788537442492 "vd1vg05"
"123" "1_m1" 0.434 0.501028334622394 1.50393781449896 4.06960754082049 "vd1vg05"
"124" "1_m2" 0.382 0.778476462175842 1.49122594536704 4.26372637244791 "vd1vg05"
"125" "1_m3" 0.41 0.355472029791827 1.38678628024672 4.5245784752942 "vd1vg05"
"127" "1_m5" 0.446 0.641793464529446 1.56006664561079 4.82760774086949 "vd1vg05"
"128" "1_m6" 0.45 0.902792832242891 1.26100464714982 4.88721951443278 "vd1vg05"
"129" "2_0" 0.392 0.349462080748093 1.48263411320008 3.84443863231165 "vd1vg05"
"130" "2_1" 0.422 0.708261999839628 1.92469431429985 4.43100523455511 "vd1vg05"
"131" "2_2" 0.398 0.720013932542429 1.40372231630469 4.16264862183607 "vd1vg05"
"132" "2_3" 0.398 0.609130586942083 2.06690564879039 4.13407429847547 "vd1vg05"
"134" "2_m1" 0.414 1.1629974028778 0.701329799739831 3.91127014051297 "vd1vg05"
"135" "2_m2" 0.418 0.182766663550613 1.5558705421696 4.3437543804 "vd1vg05"
"136" "2_m3" 0.398 0.155425879408277 1.11339413513968 3.61868601301128 "vd1vg05"
"137" "2_m4" 0.466 0.110439467570021 2.09717149132462 5.29162492570118 "vd1vg05"
"138" "2_m5" 0.446 0.557327435559881 1.61413399636687 4.92273469502409 "vd1vg05"
"139" "3_0" 0.398 0.649430726121814 0.630321840825463 3.79158414801485 "vd1vg05"
"140" "3_1" 0.43 1.9085316504079 4.87544939511965 7.61644851757906 "vd1vg05"
"141" "3_2" 0.418 0.306363427215377 1.38077052728997 4.08090916380231 "vd1vg05"
"142" "3_3" 0.394 0.370519411221977 0.636571068826008 3.54346828299566 "vd1vg05"
"143" "3_m1" 0.498 1.12551095508345 1.25590873878522 4.22758689356193 "vd1vg05"
"144" "3_m2" 0.418 0.288747265338376 2.06143385374775 4.84137219741279 "vd1vg05"
"145" "3_m3" 0.434 0.0639180540229098 0.959038336047666 3.87670864136662 "vd1vg05"
"146" "3_m4" 0.442 0.406040893918227 1.29826463171477 4.53634484576092 "vd1vg05"
"147" "4_0" 0.422 1.10752394854172 1.02989146633135 3.83347503554071 "vd1vg05"
"148" "4_1" 0.352 -0.191429516474614 2.18620053386049 4.90438546165696 "vd1vg05"
"149" "4_2" 0.426 0.597751218946311 1.58052675830325 4.03428573084651 "vd1vg05"
"150" "4_m1" 0.426 0.246320520090705 1.55174110793531 4.02796208223173 "vd1vg05"
"151" "4_m2" 0.418 1.15008420766573 3.88158731367015 6.31770681688765 "vd1vg05"
"152" "4_m3" 0.402 0.571655156645708 1.04133051833292 4.00133080745168 "vd1vg05"
"153" "5_0" 0.41 0.602176184059978 1.39762846629674 3.81853540573153 "vd1vg05"
"154" "5_1" 0.434 0.424981190657309 2.90256216621034 5.02731199008088 "vd1vg05"
"155" "5_2" 0.402 0.689155073892721 1.29274505080492 4.16029471353691 "vd1vg05"
"157" "5_m2" 0.388 0.715441939809182 3.13654542423667 4.82566366798875 "vd1vg05"
"159" "6_0" 0.414 0.612314306900913 1.52207666770908 4.18800825736703 "vd1vg05"
"160" "6_m1" 0.43 0.770447775854983 1.57985644103484 4.13403303839253 "vd1vg05"
"161" "m1_0" 0.434 0.78692743683883 1.71289988327948 3.80804147907968 "vd1vg05"
"162" "m1_1" 0.41 0.397704176432288 0.411994195257481 3.42620982908199 "vd1vg05"
"163" "m1_2" 0.392 0.540140444336657 1.37509141076471 3.65395315699883 "vd1vg05"
"164" "m1_3" 0.394 0.956765107489911 1.76647021145525 4.01185497787213 "vd1vg05"
"165" "m1_4" 0.43 0.381422351214017 1.28197759524744 3.74405157270363 "vd1vg05"
"166" "m1_5" 0.366 0.738990810988984 1.58800951523762 4.06442937216869 "vd1vg05"
"167" "m1_m1" 0.434 0.711515907453897 1.18112947686779 3.82592337783436 "vd1vg05"
"168" "m1_m2" 0.394 0.289168236736081 2.03653878155947 4.54328198336852 "vd1vg05"
"169" "m1_m3" 0.414 0.521137222360004 1.38311069993133 4.3188733387953 "vd1vg05"
"171" "m1_m5" 0.438 0.649283933898602 1.7913127720327 4.60962500878832 "vd1vg05"
"172" "m1_m6" 0.41 1.12252025597628 2.19235330194422 4.98578945023359 "vd1vg05"
"173" "m2_0" 0.414 0.58105336093179 0.809111281449212 3.9088299474655 "vd1vg05"
"174" "m2_1" 0.422 0.983874974277477 1.59499964979144 3.96212534272047 "vd1vg05"
"175" "m2_2" 0.418 0.446543486497017 1.69271811886038 3.83776191910583 "vd1vg05"
"176" "m2_3" 0.37 0.350054638145703 1.07955596741655 3.89942190088238 "vd1vg05"
"177" "m2_4" 0.394 0.614957575746512 0.669433790740381 3.94136693360509 "vd1vg05"
"178" "m2_m1" 0.438 0.807642141466442 0.78277510780978 4.06930344837405 "vd1vg05"
"179" "m2_m2" 0.414 0.878849027787165 1.65094172139056 4.43492475187323 "vd1vg05"
"180" "m2_m3" 0.422 0.544308294249404 1.77564647033341 4.939218601002 "vd1vg05"
"181" "m2_m4" 0.422 0.135218917363858 1.77813022520766 4.23768464221705 "vd1vg05"
"185" "m3_2" 0.374 0.856318929995403 1.24077485497545 4.13001139883565 "vd1vg05"
"186" "m3_3" 0.41 0.842061929619351 1.54316553373703 3.72213495875523 "vd1vg05"
"187" "m3_m1" 0.43 0.694049784278015 1.7429842205784 3.96801028607643 "vd1vg05"
"188" "m3_m2" 0.426 -0.17298386319041 1.56676550743742 4.41652435265171 "vd1vg05"
"189" "m3_m3" 0.422 0.637608820539853 1.10527009919959 4.13797879135081 "vd1vg05"
"190" "m3_m4" 0.418 0.441580764243554 1.58671197344207 3.62150802151895 "vd1vg05"
"191" "m4_0" 0.408 1.06767917215949 1.78000381019154 4.29468072278643 "vd1vg05"
"192" "m4_1" 0.41 0.835088639286706 1.29170310935523 3.97274191569415 "vd1vg05"
"193" "m4_2" 0.394 0.423240492835568 1.45379433572008 4.90010364931005 "vd1vg05"
"195" "m4_m2" 0.422 1.13354823299544 0.869381582387582 3.95094448435504 "vd1vg05"
"196" "m4_m3" 0.414 0.220196659687961 1.21175585095021 3.97203205320571 "vd1vg05"
"197" "m5_0" 0.422 0.790805643809858 1.81276331434622 4.62942333915712 "vd1vg05"
"198" "m5_1" 0.4 1.36138129746769 1.50025141946778 3.87721794835635 "vd1vg05"
"199" "m5_2" 0.496 0.884366858322011 1.01237312721927 3.82536682802028 "vd1vg05"
"200" "m5_m1" 0.438 0.860774650653436 1.04010641661272 3.86947278320238 "vd1vg05"
"201" "m5_m2" 0.41 0.152478748918476 1.64374953817583 4.35430370670595 "vd1vg05"
"203" "m6_0" 0.438 0.434193351156743 1.05704387377926 3.87193280904324 "vd1vg05"
"204" "m6_m1" 0.41 1.24914965022025 2.55320341901871 5.2027925912439 "vd1vg05"
"205" "0_0" 0.422 -1.82147457554801 -1.25514001090492 1.64633475687333 "vd05vg1"
"206" "0_1" 0.414 -2.24528785738729 -0.876757934072529 0.62579328222251 "vd05vg1"
"207" "0_2" 0.39 -2.0433376306026 -1.00931947829744 1.13080072968199 "vd05vg1"
"211" "0_6" 0.398 -1.60849553626126 -0.798584825984992 2.30536463511966 "vd05vg1"
"212" "0_m1" 0.438 -2.10817916169152 -1.41984423555292 0.807708967401609 "vd05vg1"
"213" "0_m2" 0.394 -1.26266904300319 0.958616427308346 3.95581115508485 "vd05vg1"
"214" "0_m3" 0.402 -2.69313722854773 -1.33631230421466 1.2272014820488 "vd05vg1"
"215" "0_m4" 0.402 -1.37721560756204 0.162318035879114 2.57516881461495 "vd05vg1"
"216" "0_m5" 0.434 -2.63644033169922 -1.42438780035312 1.03442121142698 "vd05vg1"
"217" "0_m6" 0.44 -2.33628996263223 -0.662984947773474 1.40492974732597 "vd05vg1"
"218" "0_m7" 0.398 -1.86809446720644 -0.715782093084769 1.73900952525241 "vd05vg1"
"219" "1_0" 0.414 -2.58211086977725 -1.45378453377775 0.22945795924371 "vd05vg1"
"220" "1_1" 0.418 -1.81022372914245 -0.990076490170214 1.01502434136207 "vd05vg1"
"221" "1_2" 0.414 -2.03132880756477 -0.912055075914399 1.30556430615288 "vd05vg1"
"222" "1_3" 0.372 -1.99138953393967 -0.655293873155852 1.52814031876051 "vd05vg1"
"223" "1_4" 0.394 -1.43303664025943 0.174221913505352 3.20039057360891 "vd05vg1"
"224" "1_5" 0.394 -1.80166317871081 -0.329619976643887 2.32656850844708 "vd05vg1"
"225" "1_m1" 0.434 -2.13537951912233 -1.29064600648779 0.779104119529933 "vd05vg1"
"226" "1_m2" 0.382 -1.34094742055405 0.161214491877349 3.09287557319089 "vd05vg1"
"227" "1_m3" 0.41 -2.35184319562337 -1.41775414818893 1.20285663417294 "vd05vg1"
"229" "1_m5" 0.446 -2.0733449623722 -0.729728661178804 0.7825288667321 "vd05vg1"
"230" "1_m6" 0.45 -2.03291547701817 -0.708441086698677 0.906762990247032 "vd05vg1"
"231" "2_0" 0.392 -2.62909390905918 -1.37399985782473 0.392066892100154 "vd05vg1"
"232" "2_1" 0.422 -2.19827674931209 -1.48257509186407 0.508146909304539 "vd05vg1"
"233" "2_2" 0.398 -2.17572846057474 -1.27773125178369 1.15369576263404 "vd05vg1"
"234" "2_3" 0.398 -2.0950855219275 -0.653388188188387 1.53859113931505 "vd05vg1"
"236" "2_m1" 0.414 -2.00279705278343 -1.39072856899787 0.545499220807343 "vd05vg1"
"237" "2_m2" 0.418 -1.89410072270233 -1.32951028178932 1.19190986507629 "vd05vg1"
"238" "2_m3" 0.398 -2.24786957821096 -1.28403669803826 0.9291957075644 "vd05vg1"
"239" "2_m4" 0.466 0.0195313921474991 2.33258826343001 5.5575901258164 "vd05vg1"
"240" "2_m5" 0.446 -2.32304741281964 -0.879406300396088 0.901396217144306 "vd05vg1"
"241" "3_0" 0.398 -2.46470125528077 -1.61585928445492 0.488649071254336 "vd05vg1"
"242" "3_1" 0.43 -1.97036932682094 -1.52945644178721 0.15929533140951 "vd05vg1"
"243" "3_2" 0.418 -2.37952585617655 -1.26297536102163 1.09873550104431 "vd05vg1"
"244" "3_3" 0.394 -1.89733087188081 -1.4597869660325 0.831050339736183 "vd05vg1"
"245" "3_m1" 0.498 -1.93823120335698 -1.20561502431416 0.907793221478542 "vd05vg1"
"246" "3_m2" 0.418 -2.073518142054 -0.27065845325804 3.55080766646254 "vd05vg1"
"247" "3_m3" 0.434 -1.97015937528538 -0.861151854097535 2.65018634221028 "vd05vg1"
"248" "3_m4" 0.442 -1.99830098251053 -1.4265795767148 0.496497590819324 "vd05vg1"
"249" "4_0" 0.422 -2.30356764523079 -1.21196031782714 0.106584295242559 "vd05vg1"
"250" "4_1" 0.352 -2.28332930948403 -1.50490912287045 0.400715666189829 "vd05vg1"
"251" "4_2" 0.426 -2.19577559172385 -1.10108674828924 1.02787443386461 "vd05vg1"
"252" "4_m1" 0.426 -2.24041935981493 -1.11729554815612 0.452974501686768 "vd05vg1"
"253" "4_m2" 0.418 -2.38786067683371 -1.39011720417745 0.794682620007428 "vd05vg1"
"254" "4_m3" 0.402 -1.89672832493104 -0.428100020632986 2.73803519137273 "vd05vg1"
"255" "5_0" 0.41 -2.84993066549402 -1.79782644121802 0.450900068766515 "vd05vg1"
"256" "5_1" 0.434 -2.10069195747203 -1.60364697826413 0.485142090761872 "vd05vg1"
"257" "5_2" 0.402 -2.25212868077443 -1.41415513041462 0.917541875645693 "vd05vg1"
"259" "5_m2" 0.388 -2.25567061554349 -1.45734325103599 0.89917853090877 "vd05vg1"
"261" "6_0" 0.414 -2.14641777664708 -1.13548285789464 0.842953365141582 "vd05vg1"
"262" "6_m1" 0.43 -2.12712061847381 -1.23724342512302 0.746423917201867 "vd05vg1"
"263" "m1_0" 0.434 -2.22470810382836 -1.3109746712449 0.632865767874421 "vd05vg1"
"264" "m1_1" 0.41 -1.83637462985418 -1.57989957627149 0.413499067778446 "vd05vg1"
"265" "m1_2" 0.392 -2.35336706640158 -1.16894641137336 0.810462694256159 "vd05vg1"
"266" "m1_3" 0.394 -1.60400674892296 -0.489848531177376 2.50699337133776 "vd05vg1"
"267" "m1_4" 0.43 -2.08966741908582 -0.742272454604361 1.26865941519071 "vd05vg1"
"268" "m1_5" 0.366 -2.1402630754069 -0.776448334527469 1.28007838297951 "vd05vg1"
"269" "m1_m1" 0.434 -2.46520258160236 -1.51842467153154 0.429348686919774 "vd05vg1"
"270" "m1_m2" 0.394 -1.86890763202483 0.845115121042596 4.50079103757026 "vd05vg1"
"271" "m1_m3" 0.414 -2.46636872391289 -1.21761787413604 0.783695298461161 "vd05vg1"
"273" "m1_m5" 0.438 -2.45180858345585 -1.07331287612323 0.877574342758507 "vd05vg1"
"274" "m1_m6" 0.41 -1.7209660834171 -0.980442274664643 1.25236089433577 "vd05vg1"
"275" "m2_0" 0.414 -2.35259622438478 -1.06241306590918 1.05933588687667 "vd05vg1"
"276" "m2_1" 0.422 -1.81180933839074 -1.13181593247177 0.509207171878668 "vd05vg1"
"277" "m2_2" 0.418 -2.511591142008 -0.632670713238387 1.64620384879995 "vd05vg1"
"278" "m2_3" 0.37 -1.99068129493 -1.06491631499378 1.06215710624918 "vd05vg1"
"279" "m2_4" 0.394 -1.7478901845961 -0.885353999833121 1.59500440132203 "vd05vg1"
"280" "m2_m1" 0.438 -2.34554101952559 -1.4254782174483 0.156105217050168 "vd05vg1"
"281" "m2_m2" 0.414 -2.42060468268462 -1.47470186051771 0.734865508643406 "vd05vg1"
"282" "m2_m3" 0.422 -2.20378783883009 -1.00143499067588 0.91316344947591 "vd05vg1"
"283" "m2_m4" 0.422 -2.39192368710447 -1.23567105338075 1.20966245693482 "vd05vg1"
"287" "m3_2" 0.374 -1.7549479387952 -0.289319601322706 2.02907707884391 "vd05vg1"
"288" "m3_3" 0.41 -1.62130059537871 -1.111685415244 1.29823905937381 "vd05vg1"
"289" "m3_m1" 0.43 -1.81690831800379 -0.958500143076332 0.634916862064848 "vd05vg1"
"290" "m3_m2" 0.426 -2.32521761019741 -1.31107892388389 1.38834154507212 "vd05vg1"
"291" "m3_m3" 0.422 -2.20598592430208 -1.60279754837829 0.431700961069051 "vd05vg1"
"292" "m3_m4" 0.418 -2.39729733175533 -1.32882023611277 0.605617259103482 "vd05vg1"
"293" "m4_0" 0.408 -1.94281260114547 -1.23188333760295 1.34811942511942 "vd05vg1"
"294" "m4_1" 0.41 -2.11447260203013 -1.74531968933434 0.507377409638632 "vd05vg1"
"295" "m4_2" 0.394 -0.506387897360682 1.95827734718091 4.1984306528906 "vd05vg1"
"297" "m4_m2" 0.422 -1.93580229639708 -1.04566975120868 0.258933004936395 "vd05vg1"
"298" "m4_m3" 0.414 -2.53635453754984 -1.53956364985178 0.960697313511851 "vd05vg1"
"299" "m5_0" 0.422 -2.03669752746807 -1.57141551454477 0.468965698065372 "vd05vg1"
"300" "m5_1" 0.4 -2.11167686066046 -1.22765422253628 0.567501729799488 "vd05vg1"
"301" "m5_2" 0.496 -1.81151695036682 -0.252655679499203 2.45390711076575 "vd05vg1"
"302" "m5_m1" 0.438 -2.0130100856254 -1.08587839265286 0.941994191746012 "vd05vg1"
"303" "m5_m2" 0.41 -1.0997354918376 0.144108100109392 2.63878911261688 "vd05vg1"
"305" "m6_0" 0.438 -2.19443382623894 -1.54250939519707 0.707143833561787 "vd05vg1"
"306" "m6_m1" 0.41 -2.25810907367832 -1.20653803872552 0.704429189590449 "vd05vg1"
"307" "0_0" 0.422 -3.25176723756021 -2.00843481136578 1.03854931284183 "vd1vg1"
"308" "0_1" 0.414 -2.6945293497832 -0.901328158920091 1.23297784929039 "vd1vg1"
"309" "0_2" 0.39 -3.1783643442729 -1.09386609498916 0.994464455982989 "vd1vg1"
"313" "0_6" 0.398 -2.4946840750559 -1.22906994529113 1.6249240232707 "vd1vg1"
"314" "0_m1" 0.438 -3.02273139502643 -1.19022980705689 0.947402267857122 "vd1vg1"
"315" "0_m2" 0.394 -2.87046933276656 -1.1641042966495 1.11209347962613 "vd1vg1"
"316" "0_m3" 0.402 -2.99770449067532 -1.46343999439397 1.32018085723918 "vd1vg1"
"317" "0_m4" 0.402 -2.18477510825465 0.37374429889427 2.91775155025676 "vd1vg1"
"318" "0_m5" 0.434 -2.57382386605835 -1.04858568178448 1.75600025990468 "vd1vg1"
"319" "0_m6" 0.44 -2.50337377213258 -0.511533963570756 1.71632738121227 "vd1vg1"
"320" "0_m7" 0.398 -2.31233035853784 -0.89529070850211 2.0040631124855 "vd1vg1"
"321" "1_0" 0.414 -2.79268207470142 -1.23265419288896 1.24407380473802 "vd1vg1"
"322" "1_1" 0.418 -2.49775061623476 -1.06380977099758 1.35132562651672 "vd1vg1"
"323" "1_2" 0.414 -2.55800616580303 -1.1291324768936 2.03466096734551 "vd1vg1"
"324" "1_3" 0.372 -3.04698985481826 -0.839503970539671 2.16089621680153 "vd1vg1"
"325" "1_4" 0.394 -2.74837442510344 0.086599234931537 2.60091280363307 "vd1vg1"
"326" "1_5" 0.394 -2.12518318307463 -0.522166722654745 2.01856177389315 "vd1vg1"
"327" "1_m1" 0.434 -2.77770245379971 -1.29679382929223 0.952392836007125 "vd1vg1"
"328" "1_m2" 0.382 -3.03970562852532 -1.64758243841629 1.41282823044956 "vd1vg1"
"329" "1_m3" 0.41 -3.16837933659314 -1.22624050121921 1.3050691560742 "vd1vg1"
