"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_cond"
"70" "m1_m6" 0.41 3.05159e-13 1.59633e-12 1.93926e-11 "vd05vg05"
"71" "m2_0" 0.414 3.63012e-13 1.08108e-12 1.3232e-11 "vd05vg05"
"72" "m2_1" 0.422 3.82123e-13 1.67954e-12 1.15198e-11 "vd05vg05"
"73" "m2_2" 0.418 3.226e-13 1.94045e-12 2.62688e-11 "vd05vg05"
"74" "m2_3" 0.37 2.95338e-13 1.7712e-12 1.61156e-11 "vd05vg05"
"75" "m2_4" 0.394 2.66335e-13 2.81067e-12 3.3685e-11 "vd05vg05"
"76" "m2_m1" 0.438 1.76272e-13 1.17761e-12 1.04631e-11 "vd05vg05"
"77" "m2_m2" 0.414 2.64075e-13 1.45691e-12 1.72915e-11 "vd05vg05"
"78" "m2_m3" 0.422 3.0072e-13 8.63645e-13 2.10487e-11 "vd05vg05"
"79" "m2_m4" 0.422 2.01056e-13 1.14636e-12 1.53574e-11 "vd05vg05"
"80" "m2_m5" 0 1.44617e-12 2.35994e-12 4.30444e-11 "vd05vg05"
"81" "m3_0" 0 0 0 0 "vd05vg05"
"82" "m3_1" 0 2.98497e-13 9.63906e-13 1.04561e-11 "vd05vg05"
"83" "m3_2" 0.374 4.65394e-13 3.13336e-12 4.92274e-11 "vd05vg05"
"84" "m3_3" 0.41 3.7642e-13 1.29829e-12 1.86339e-11 "vd05vg05"
"85" "m3_m1" 0.43 2.91022e-13 1.19573e-12 1.03751e-11 "vd05vg05"
"86" "m3_m2" 0.426 2.9091e-13 2.06934e-12 1.67545e-11 "vd05vg05"
"87" "m3_m3" 0.422 2.59474e-13 9.13538e-13 1.49347e-11 "vd05vg05"
"88" "m3_m4" 0.418 1.90009e-13 1.09645e-12 1.77083e-11 "vd05vg05"
"89" "m4_0" 0.408 4.74518e-13 1.68876e-12 1.53493e-11 "vd05vg05"
"90" "m4_1" 0.41 2.54296e-13 1.19471e-12 1.21277e-11 "vd05vg05"
"91" "m4_2" 0.394 9.1176e-13 1.70555e-11 2.97033e-10 "vd05vg05"
"92" "m4_m1" 0 2.49436e-12 2.76167e-11 3.10297e-10 "vd05vg05"
"93" "m4_m2" 0.422 4.25131e-13 1.15265e-12 1.45631e-11 "vd05vg05"
"94" "m4_m3" 0.414 1.81069e-13 1.03513e-12 2.28199e-11 "vd05vg05"
"95" "m5_0" 0.422 2.40139e-13 8.81762e-13 1.20155e-11 "vd05vg05"
"96" "m5_1" 0.4 2.90035e-13 1.22406e-12 1.15897e-11 "vd05vg05"
"97" "m5_2" 0.496 3.71554e-13 3.83636e-12 6.96183e-11 "vd05vg05"
"98" "m5_m1" 0.438 2.62319e-13 1.04879e-12 2.12209e-11 "vd05vg05"
"99" "m5_m2" 0.41 2.39973e-13 8.54213e-13 1.33052e-11 "vd05vg05"
"100" "m5_m3" 0 0 0 0 "vd05vg05"
"101" "m6_0" 0.438 2.64042e-13 1.24871e-12 1.10488e-11 "vd05vg05"
"102" "m6_m1" 0.41 2.99908e-13 1.22813e-12 1.56739e-11 "vd05vg05"
"103" "0_0" 0.422 4.58913e-12 9.83413e-12 1.40097e-10 "vd1vg05"
"104" "0_1" 0.414 1.84541e-11 1.76117e-10 2.30715e-09 "vd1vg05"
"105" "0_2" 0.39 5.41975e-12 1.61997e-11 1.64712e-10 "vd1vg05"
"106" "0_3" 0 0 0 0 "vd1vg05"
"107" "0_4" 0 0 0 0 "vd1vg05"
"108" "0_5" 0 0 0 0 "vd1vg05"
"109" "0_6" 0.398 5.41486e-12 1.25493e-11 1.74544e-10 "vd1vg05"
"110" "0_m1" 0.438 5.4408e-12 1.68668e-11 2.45728e-10 "vd1vg05"
"111" "0_m2" 0.394 3.85737e-12 1.2309e-11 3.80716e-10 "vd1vg05"
"112" "0_m3" 0.402 8.77512e-12 1.32135e-11 3.89094e-10 "vd1vg05"
"113" "0_m4" 0.402 8.13072e-12 1.28725e-11 2.11705e-10 "vd1vg05"
"114" "0_m5" 0.434 1.20322e-11 2.08885e-11 4.22043e-10 "vd1vg05"
"115" "0_m6" 0.44 1.23545e-11 1.84396e-11 5.44849e-10 "vd1vg05"
"116" "0_m7" 0.398 1.23077e-11 1.8141e-11 6.35112e-10 "vd1vg05"
"117" "1_0" 0.414 4.48038e-12 1.06772e-11 1.80527e-10 "vd1vg05"
"118" "1_1" 0.418 5.51997e-12 1.16256e-11 2.59743e-10 "vd1vg05"
"119" "1_2" 0.414 6.85667e-12 3.00032e-11 2.81843e-10 "vd1vg05"
"120" "1_3" 0.372 6.95445e-12 2.05498e-11 2.3814e-10 "vd1vg05"
"121" "1_4" 0.394 7.42821e-12 1.39805e-11 1.80808e-10 "vd1vg05"
"122" "1_5" 0.394 9.25404e-12 1.57443e-11 2.8703e-10 "vd1vg05"
"123" "1_m1" 0.434 7.0479e-12 1.9214e-11 2.49962e-10 "vd1vg05"
"124" "1_m2" 0.382 9.30152e-12 1.89713e-11 3.03514e-10 "vd1vg05"
"125" "1_m3" 0.41 6.0932e-12 1.70899e-11 3.93972e-10 "vd1vg05"
"126" "1_m4" 0 0 0 0 "vd1vg05"
"127" "1_m5" 0.446 8.11322e-12 2.03233e-11 5.3342e-10 "vd1vg05"
"128" "1_m6" 0.45 1.05328e-11 1.507e-11 5.66185e-10 "vd1vg05"
"129" "2_0" 0.392 6.05669e-12 1.8809e-11 1.99565e-10 "vd1vg05"
"130" "2_1" 0.422 8.67082e-12 2.92651e-11 3.58779e-10 "vd1vg05"
"131" "2_2" 0.398 8.77332e-12 1.73818e-11 2.74335e-10 "vd1vg05"
"132" "2_3" 0.398 7.8525e-12 3.37374e-11 2.66607e-10 "vd1vg05"
"133" "2_4" 0 0 0 0 "vd1vg05"
"134" "2_m1" 0.414 1.36631e-11 8.61092e-12 2.13358e-10 "vd1vg05"
"135" "2_m2" 0.418 5.12673e-12 2.02382e-11 3.28802e-10 "vd1vg05"
"136" "2_m3" 0.398 4.98846e-12 1.30019e-11 1.59236e-10 "vd1vg05"
"137" "2_m4" 0.466 4.76902e-12 3.47741e-11 8.48378e-10 "vd1vg05"
"138" "2_m5" 0.446 7.4560725e-12 2.1452375e-11 5.866545e-10 "vd1vg05"
"139" "3_0" 0.398 8.17542e-12 8.02068e-12 1.89291e-10 "vd1vg05"
"140" "3_1" 0.43 2.87959e-11 5.5956e-10 8.67456e-09 "vd1vg05"
"141" "3_2" 0.418 5.8012e-12 1.69874e-11 2.52803e-10 "vd1vg05"
"142" "3_3" 0.394 6.18558e-12 8.07096e-12 1.47698e-10 "vd1vg05"
"143" "3_m1" 0.498 1.31604e-11 1.49934e-11 2.92741e-10 "vd1vg05"
"144" "3_m2" 0.418 5.6999e-12 3.35533e-11 5.40813e-10 "vd1vg05"
"145" "3_m3" 0.434 4.55224e-12 1.11422e-11 2.0611e-10 "vd1vg05"
"146" "3_m4" 0.442 6.40925e-12 1.56421e-11 3.98635e-10 "vd1vg05"
"147" "4_0" 0.422 1.29258e-11 1.19603e-11 1.97389e-10 "vd1vg05"
"148" "4_1" 0.352 3.52638e-12 3.8012e-11 5.75988e-10 "vd1vg05"
"149" "4_2" 0.426 7.76365e-12 2.07434e-11 2.41287e-10 "vd1vg05"
"150" "4_m1" 0.426 5.46313e-12 2.01548e-11 2.39766e-10 "vd1vg05"
"151" "4_m2" 0.418 1.34878e-11 2.07118e-10 2.36707e-09 "vd1vg05"
"152" "4_m3" 0.402 7.56367e-12 1.20979e-11 2.33465e-10 "vd1vg05"
"153" "5_0" 0.41 7.79808e-12 1.72762e-11 1.94462e-10 "vd1vg05"
"154" "5_1" 0.434 6.5318e-12 7.78095e-11 6.51328e-10 "vd1vg05"
"155" "5_2" 0.402 8.50672e-12 1.5556e-11 2.7369e-10 "vd1vg05"
"156" "5_m1" 0 7.58646e-12 1.86544e-11 2.49764e-10 "vd1vg05"
"157" "5_m2" 0.388 8.7333e-12 9.83219e-11 5.32384e-10 "vd1vg05"
"158" "5_m3" 0 1.07812e-10 1.26566e-09 2.46964e-08 "vd1vg05"
