"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"179" "0_0" 0.422 -1.82147457554801 -1.25514001090492 1.64633475687333
"180" "0_1" 0.414 -2.24528785738729 -0.876757934072529 0.62579328222251
"181" "0_2" 0.39 -2.0433376306026 -1.00931947829744 1.13080072968199
"182" "0_6" 0.398 -1.60849553626126 -0.798584825984992 2.30536463511966
"183" "0_m1" 0.438 -2.10817916169152 -1.41984423555292 0.807708967401609
"184" "0_m2" 0.394 -1.26266904300319 0.958616427308346 3.95581115508485
"185" "0_m3" 0.402 -2.69313722854773 -1.33631230421466 1.2272014820488
"186" "0_m4" 0.402 -1.37721560756204 0.162318035879114 2.57516881461495
"187" "0_m5" 0.434 -2.63644033169922 -1.42438780035312 1.03442121142698
"188" "0_m6" 0.44 -2.33628996263223 -0.662984947773474 1.40492974732597
"189" "0_m7" 0.398 -1.86809446720644 -0.715782093084769 1.73900952525241
"190" "1_0" 0.414 -2.58211086977725 -1.45378453377775 0.22945795924371
"191" "1_1" 0.418 -1.81022372914245 -0.990076490170214 1.01502434136207
"192" "1_2" 0.414 -2.03132880756477 -0.912055075914399 1.30556430615288
"193" "1_3" 0.372 -1.99138953393967 -0.655293873155852 1.52814031876051
"194" "1_4" 0.394 -1.43303664025943 0.174221913505352 3.20039057360891
"195" "1_5" 0.394 -1.80166317871081 -0.329619976643887 2.32656850844708
"196" "1_m1" 0.434 -2.13537951912233 -1.29064600648779 0.779104119529933
"197" "1_m2" 0.382 -1.34094742055405 0.161214491877349 3.09287557319089
"198" "1_m3" 0.41 -2.35184319562337 -1.41775414818893 1.20285663417294
"199" "1_m5" 0.446 -2.0733449623722 -0.729728661178804 0.7825288667321
"200" "1_m6" 0.45 -2.03291547701817 -0.708441086698677 0.906762990247032
"201" "2_0" 0.392 -2.62909390905918 -1.37399985782473 0.392066892100154
"202" "2_1" 0.422 -2.19827674931209 -1.48257509186407 0.508146909304539
"203" "2_2" 0.398 -2.17572846057474 -1.27773125178369 1.15369576263404
"204" "2_3" 0.398 -2.0950855219275 -0.653388188188387 1.53859113931505
"205" "2_m1" 0.414 -2.00279705278343 -1.39072856899787 0.545499220807343
"206" "2_m2" 0.418 -1.89410072270233 -1.32951028178932 1.19190986507629
"207" "2_m3" 0.398 -2.24786957821096 -1.28403669803826 0.9291957075644
"208" "2_m4" 0.466 0.0195313921474991 2.33258826343001 5.5575901258164
"209" "2_m5" 0.446 -2.32304741281964 -0.879406300396088 0.901396217144306
"210" "3_0" 0.398 -2.46470125528077 -1.61585928445492 0.488649071254336
"211" "3_1" 0.43 -1.97036932682094 -1.52945644178721 0.15929533140951
"212" "3_2" 0.418 -2.37952585617655 -1.26297536102163 1.09873550104431
"213" "3_3" 0.394 -1.89733087188081 -1.4597869660325 0.831050339736183
"214" "3_m1" 0.498 -1.93823120335698 -1.20561502431416 0.907793221478542
"215" "3_m2" 0.418 -2.073518142054 -0.27065845325804 3.55080766646254
"216" "3_m3" 0.434 -1.97015937528538 -0.861151854097535 2.65018634221028
"217" "3_m4" 0.442 -1.99830098251053 -1.4265795767148 0.496497590819324
"218" "4_0" 0.422 -2.30356764523079 -1.21196031782714 0.106584295242559
"219" "4_1" 0.352 -2.28332930948403 -1.50490912287045 0.400715666189829
