"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"1" "0_0" 0.422 -26.1073306523052 -25.3451621275834 -22.6886860760911
"2" "0_1" 0.414 -24.7157345479075 -22.4598725690266 -19.8872528403626
"3" "0_2" 0.39 -25.9409714270021 -24.8460283923802 -22.5268226216541
"4" "0_6" 0.398 -25.9418740899188 -25.1013562287988 -22.4688442570731
"5" "0_m1" 0.438 -25.9370950070493 -24.8056739231961 -22.1267958827804
"6" "0_m2" 0.394 -26.2810355118245 -25.1206904138004 -21.6889674255798
"7" "0_m3" 0.402 -25.4591006714564 -25.0497820816927 -21.6672001562574
"8" "0_m4" 0.402 -25.5353716354045 -25.0759278629904 -22.2758273197388
"9" "0_m5" 0.434 -25.1434347265188 -24.5918223476294 -21.585913911349
"10" "0_m6" 0.44 -25.1170007467525 -24.7165205900093 -21.3305124238749
"11" "0_m7" 0.398 -25.1207960331565 -24.7328465459694 -21.1772197546359
"12" "1_0" 0.414 -26.1313132516702 -25.2629104890543 -22.4351407648547
"13" "1_1" 0.418 -25.9226486904369 -25.1778115528838 -22.0713284353018
"14" "1_2" 0.414 -25.705799214787 -24.2297170732882 -21.989670937615
"15" "1_3" 0.372 -25.6916393734788 -24.6081699073938 -22.1581623799055
"16" "1_4" 0.394 -25.6257362014322 -24.9933576143833 -22.4335854211618
"17" "1_5" 0.394 -25.4059609029979 -24.8745427209221 -21.971434376015
"18" "1_m1" 0.434 -25.6782914158176 -24.675381935941 -22.1097122096195
"19" "1_m2" 0.382 -25.4008432882641 -24.6880938050729 -21.9155933779921
"20" "1_m3" 0.41 -25.8238477206481 -24.7925334701932 -21.6547412751458
"21" "1_m5" 0.446 -25.5375262859105 -24.6192531048292 -21.3517120095705
"22" "1_m6" 0.45 -25.2765269181971 -24.9183151032901 -21.2921002360072
"23" "2_0" 0.392 -25.8298576696919 -24.6966856372399 -22.3348811181283
"24" "2_1" 0.422 -25.4710577506003 -24.2546254361401 -21.7483145158849
"25" "2_2" 0.398 -25.4593058178975 -24.7755974341353 -22.0166711286039
"26" "2_3" 0.398 -25.5701891634979 -24.1124141016496 -22.0452454519645
"27" "2_m1" 0.414 -25.0163223475622 -25.4779899507001 -22.268049609927
"28" "2_m2" 0.418 -25.9965530868894 -24.6234492082704 -21.83556537004
"29" "2_m3" 0.398 -26.0238938710317 -25.0659256153003 -22.5606337374287
