"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"1" "0_0" 0.422 -28.000794325988 -27.4344597613449 -24.5329849935666
"2" "0_1" 0.414 -28.4246076078273 -27.0560776845125 -25.5535264682175
"3" "0_2" 0.39 -28.2226573810426 -27.1886392287374 -25.048519020758
"4" "0_6" 0.398 -27.7878152867012 -26.977904576425 -23.8739551153203
"5" "0_m1" 0.438 -28.2874989121315 -27.5991639859929 -25.3716107830384
"6" "0_m2" 0.394 -27.4419887934432 -25.2207033231316 -22.2235085953551
"7" "0_m3" 0.402 -28.8724569789877 -27.5156320546546 -24.9521182683912
"8" "0_m4" 0.402 -27.556535358002 -26.0170017145609 -23.604150935825
"9" "0_m5" 0.434 -28.8157600821392 -27.6037075507931 -25.144898539013
"10" "0_m6" 0.44 -28.5156097130722 -26.8423046982134 -24.774390003114
"11" "0_m7" 0.398 -28.0474142176464 -26.8951018435247 -24.4403102251876
"12" "1_0" 0.414 -28.7614306202172 -27.6331042842177 -25.9498617911963
"13" "1_1" 0.418 -27.9895434795824 -27.1693962406102 -25.1642954090779
"14" "1_2" 0.414 -28.2106485580047 -27.0913748263544 -24.8737554442871
"15" "1_3" 0.372 -28.1707092843796 -26.8346136235958 -24.6511794316795
"16" "1_4" 0.394 -27.6123563906994 -26.0050978369346 -22.9789291768311
"17" "1_5" 0.394 -27.9809829291508 -26.5089397270839 -23.8527512419929
"18" "1_m1" 0.434 -28.3146992695623 -27.4699657569278 -25.40021563091
"19" "1_m2" 0.382 -27.520267170994 -26.0181052585626 -23.0864441772491
"20" "1_m3" 0.41 -28.5311629460633 -27.5970738986289 -24.976463116267
"21" "1_m5" 0.446 -28.2526647128122 -26.9090484116188 -25.3967908837079
"22" "1_m6" 0.45 -28.2122352274581 -26.8877608371386 -25.2725567601929
"23" "2_0" 0.392 -28.8084136594991 -27.5533196082647 -25.7872528583398
"24" "2_1" 0.422 -28.3775964997521 -27.661894842304 -25.6711728411354
"25" "2_2" 0.398 -28.3550482110147 -27.4570510022237 -25.0256239878059
"26" "2_3" 0.398 -28.2744052723675 -26.8327079386284 -24.6407286111249
"27" "2_m1" 0.414 -28.1821168032234 -27.5700483194378 -25.6338205296326
"28" "2_m2" 0.418 -28.0734204731423 -27.5088300322293 -24.9874098853637
"29" "2_m3" 0.398 -28.4271893286509 -27.4633564484782 -25.2501240428756
"30" "2_m4" 0.466 -26.1597883582925 -23.84673148701 -20.6217296246236
"31" "2_m5" 0.446 -28.5023671632596 -27.0587260508361 -25.2779235332957
"32" "3_0" 0.398 -28.6440210057207 -27.7951790348949 -25.6906706791856
"33" "3_1" 0.43 -28.1496890772609 -27.7087761922272 -26.0200244190305
"34" "3_2" 0.418 -28.5588456066165 -27.4422951114616 -25.0805842493957
"35" "3_3" 0.394 -28.0766506223208 -27.6391067164725 -25.3482694107038
"36" "3_m1" 0.498 -28.1175509537969 -27.3849347747541 -25.2715265289614
"37" "3_m2" 0.418 -28.252837892494 -26.449978203698 -22.6285120839774
"38" "3_m3" 0.434 -28.1494791257253 -27.0404716045375 -23.5291334082297
"39" "3_m4" 0.442 -28.1776207329505 -27.6058993271548 -25.6828221596206
"40" "4_0" 0.422 -28.4828873956708 -27.3912800682671 -26.0727354551974
"41" "4_1" 0.352 -28.462649059924 -27.6842288733104 -25.7786040842501
"42" "4_2" 0.426 -28.3750953421638 -27.2804064987292 -25.1514453165754
"43" "4_m1" 0.426 -28.4197391102549 -27.2966152985961 -25.7263452487532
"44" "4_m2" 0.418 -28.5671804272737 -27.5694369546174 -25.3846371304325
"45" "4_m3" 0.402 -28.076048075371 -26.607419771073 -23.4412845590672
"46" "5_0" 0.41 -29.029250415934 -27.977146191658 -25.7284196816735
"47" "5_1" 0.434 -28.280011707912 -27.7829667287041 -25.6941776596781
"48" "5_2" 0.402 -28.4314484312144 -27.5934748808546 -25.2617778747943
"49" "5_m2" 0.388 -28.4349903659835 -27.636663001476 -25.2801412195312
"50" "6_0" 0.414 -28.325737527087 -27.3148026083346 -25.3363663852984
"51" "6_m1" 0.43 -28.3064403689138 -27.416563175563 -25.4328958332381
"52" "m1_0" 0.434 -28.4040278542683 -27.4902944216849 -25.5464539825655
"53" "m1_1" 0.41 -28.0156943802941 -27.7592193267115 -25.7658206826615
"54" "m1_2" 0.392 -28.5326868168415 -27.3482661618133 -25.3688570561838
"55" "m1_3" 0.394 -27.7833264993629 -26.6691682816173 -23.6723263791022
"56" "m1_4" 0.43 -28.2689871695258 -26.9215922050443 -24.9106603352493
"57" "m1_5" 0.366 -28.3195828258469 -26.9557680849674 -24.8992413674605
"58" "m1_m1" 0.434 -28.6445223320423 -27.6977444219715 -25.7499710635202
"59" "m1_m2" 0.394 -28.0482273824648 -25.3342046293974 -21.6785287128697
"60" "m1_m3" 0.414 -28.6456884743529 -27.396937624576 -25.3956244519788
"61" "m1_m5" 0.438 -28.6311283338958 -27.2526326265632 -25.3017454076815
"62" "m1_m6" 0.41 -27.9002858338571 -27.1597620251046 -24.9269588561042
"63" "m2_0" 0.414 -28.5319159748247 -27.2417328163491 -25.1199838635633
"64" "m2_1" 0.422 -27.9911290888307 -27.3111356829117 -25.6701125785613
"65" "m2_2" 0.418 -28.690910892448 -26.8119904636784 -24.53311590164
"66" "m2_3" 0.37 -28.17000104537 -27.2442360654337 -25.1171626441908
"67" "m2_4" 0.394 -27.9272099350361 -27.0646737502731 -24.5843153491179
"68" "m2_m1" 0.438 -28.5248607699656 -27.6047979678883 -26.0232145333898
"69" "m2_m2" 0.414 -28.5999244331246 -27.6540216109577 -25.4444542417966
"70" "m2_m3" 0.422 -28.3831075892701 -27.1807547411158 -25.2661563009641
"71" "m2_m4" 0.422 -28.5712434375444 -27.4149908038207 -24.9696572935051
"72" "m3_2" 0.374 -27.9342676892352 -26.4686393517627 -24.1502426715961
"73" "m3_3" 0.41 -27.8006203458187 -27.291005165684 -24.8810806910662
"74" "m3_m1" 0.43 -27.9962280684438 -27.1378198935163 -25.5444028883751
"75" "m3_m2" 0.426 -28.5045373606374 -27.4903986743239 -24.7909782053678
"76" "m3_m3" 0.422 -28.385305674742 -27.7821172988183 -25.7476187893709
"77" "m3_m4" 0.418 -28.5766170821953 -27.5081399865527 -25.5737024913365
"78" "m4_0" 0.408 -28.1221323515854 -27.4112030880429 -24.8312003253205
"79" "m4_1" 0.41 -28.2937923524701 -27.9246394397743 -25.6719423408013
"80" "m4_2" 0.394 -26.6857076478006 -24.2210424032591 -21.9808890975494
"81" "m4_m2" 0.422 -28.115122046837 -27.2249895016486 -25.9203867455036
"82" "m4_m3" 0.414 -28.7156742879898 -27.7188834002917 -25.2186224369281
"83" "m5_0" 0.422 -28.216017277908 -27.7507352649847 -25.7103540523746
"84" "m5_1" 0.4 -28.2909966111004 -27.4069739729762 -25.6118180206405
"85" "m5_2" 0.496 -27.9908367008068 -26.4319754299392 -23.7254126396742
"86" "m5_m1" 0.438 -28.1923298360654 -27.2651981430928 -25.237325558694
"87" "m5_m2" 0.41 -27.2790552422776 -26.0352116503306 -23.5405306378231
"88" "m6_0" 0.438 -28.3737535766789 -27.721829145637 -25.4721759168782
"89" "m6_m1" 0.41 -28.4374288241183 -27.3858577891655 -25.4748905608495
