"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"1" "0_0" 0.422 -26.0872039099834 -25.3428128763992 -22.6616662547527
"2" "0_1" 0.414 -25.3621758635482 -22.8875857593434 -19.7120722809533
"3" "0_2" 0.39 -25.2809419364062 -24.4480999834705 -22.1409063967496
"4" "0_6" 0.398 -25.8685428541417 -23.9188158365111 -22.5074977097539
"5" "0_m1" 0.438 -25.8591616787404 -24.5156009554332 -21.4998098439525
"6" "0_m2" 0.394 -25.879821522799 -24.5769727655517 -22.0990872315337
"7" "0_m3" 0.402 -25.4057534475677 -24.3112109565058 -22.0111240002606
"8" "0_m4" 0.402 -25.5917923793625 -24.3490127578608 -22.0347459039881
"9" "0_m5" 0.434 -25.5896241792884 -24.631212163334 -21.6885288745768
"10" "0_m6" 0.44 -25.313626231281 -24.5591336814282 -21.0662985464869
"11" "0_m7" 0.398 -25.4924772870665 -24.347733027893 -21.2137122023143
"12" "1_0" 0.414 -25.8818838717749 -25.500464733283 -22.6276521578243
"13" "1_1" 0.418 -25.7698848489227 -25.0550633432566 -22.3280545735664
"14" "1_2" 0.414 -25.5206152068787 -23.8945522182217 -22.3067582634273
"15" "1_3" 0.372 -25.9178233682422 -24.6391412533901 -21.7889502478054
"16" "1_4" 0.394 -25.5264017135566 -24.6986014485863 -22.3573294892069
"17" "1_5" 0.394 -25.4919943159128 -24.7092529787193 -22.1924723519992
"18" "1_m1" 0.434 -25.7323523310528 -23.9829636563349 -21.9907927582059
"19" "1_m2" 0.382 -25.4948318697383 -24.9279030578719 -21.4808939403027
"20" "1_m3" 0.41 -25.6126627386797 -24.4758777371637 -21.9870488031846
"21" "1_m5" 0.446 -25.139801104084 -23.8204175136657 -21.3624363266496
"22" "1_m6" 0.45 -25.0809979870529 -24.3237095955607 -21.4510562234499
"23" "2_0" 0.392 -25.8066315140467 -24.7850773835112 -22.2996026846757
"24" "2_1" 0.422 -25.5748047016224 -24.5080572518986 -21.8799257582217
"25" "2_2" 0.398 -25.5482289438853 -24.6866926691864 -21.7246815443665
"26" "2_3" 0.398 -25.8187403234797 -24.3682738707686 -22.2258423605964
"27" "2_m1" 0.414 -24.9147779027313 -24.5536213016114 -21.7231963632605
"28" "2_m2" 0.418 -25.695848407416 -23.7192701474991 -21.0300546189013
"29" "2_m3" 0.398 -25.5993802905831 -24.82081753654 -22.313577821582
"30" "2_m4" 0.466 -26.0377410411137 -23.7644390894572 -21.2966373018894
"31" "2_m5" 0.446 -25.5887710725989 -23.7924283015615 -21.3295368142695
"32" "3_0" 0.398 -24.9805364703608 -24.4735527191897 -22.4908850412219
"33" "3_1" 0.43 -24.0902705093234 -21.4926398482409 -18.8095675349171
"34" "3_2" 0.418 -25.469200367547 -24.2256723631439 -22.1859834638295
"35" "3_3" 0.394 -25.7587590447945 -24.7045424621391 -22.5862356344024
"36" "3_m1" 0.498 -24.829687028994 -24.1152814998937 -21.6471981917919
"37" "3_m2" 0.418 -25.6613497983952 -24.0056140847702 -21.3687911545827
"38" "3_m3" 0.434 -25.5437292190791 -24.3838105386331 -22.2885241977688
"39" "3_m4" 0.442 -25.4953043975701 -24.3126294221233 -21.1885032427025
"40" "4_0" 0.422 -24.7346231079625 -24.1957573072945 -22.1252587784955
"41" "4_1" 0.352 -26.0932940510484 -23.8921950237618 -20.84473766785
"42" "4_2" 0.426 -25.5549903844541 -24.4569251074349 -21.8784040336461
"43" "4_m1" 0.426 -24.2414780494099 -22.2765408308817 -21.2349418221672
"44" "4_m2" 0.418 -25.7783390300732 -23.1791582987877 -20.721936720613
"45" "4_m3" 0.402 -25.1247281262592 -24.8678705432292 -22.0925536329741
"46" "5_0" 0.41 -25.1093727847874 -25.1351745261022 -22.1733011706636
"47" "5_1" 0.434 -26.1194540590323 -24.3389989239577 -21.3145967753721
"48" "5_2" 0.402 -25.7622805440372 -25.0710920312829 -21.9487551364013
"49" "5_m2" 0.388 -25.2475936350904 -23.763242621822 -20.994843615783
"50" "6_0" 0.414 -25.3499160763235 -24.1843756565881 -21.8244083238681
"51" "6_m1" 0.43 -25.2447568582695 -23.9518763909115 -21.5761475916276
"52" "m1_0" 0.434 -25.288965341026 -24.6881043473686 -22.1128255234433
"53" "m1_1" 0.41 -26.1337020609384 -25.3022713236639 -22.5188947829529
"54" "m1_2" 0.392 -25.247187888234 -24.6369201722699 -22.5977049876092
"55" "m1_3" 0.394 -25.060556227779 -24.3274439133993 -22.3299874418863
"56" "m1_4" 0.43 -25.588515898606 -24.4472254680766 -22.5632433340451
"57" "m1_5" 0.366 -25.2230765072772 -24.3012839328172 -21.6768483435723
"58" "m1_m1" 0.434 -25.6747307425818 -24.61372306446 -22.4706104138485
"59" "m1_m2" 0.394 -25.8472417364207 -24.146466525625 -21.4337606208415
"60" "m1_m3" 0.414 -25.6686289728326 -24.1851340289917 -21.9555866767878
"61" "m1_m5" 0.438 -25.2443246803158 -24.2688729954517 -21.5123932217269
"62" "m1_m6" 0.41 -25.4127180371167 -24.3305874241282 -21.4123213996031
"63" "m2_0" 0.414 -25.2163581195292 -24.824224222359 -22.0459358446527
"64" "m2_1" 0.422 -24.9332771756817 -23.8992953176734 -22.0269411197799
"65" "m2_2" 0.418 -25.7064323755055 -24.4426003748422 -22.2995156187958
"66" "m2_3" 0.37 -25.5326106277011 -24.6114014319212 -22.1093162278295
"67" "m2_4" 0.394 -25.5326106277011 -25.0092698184127 -22.1606345690509
"68" "m2_m1" 0.438 -25.2555945667594 -24.4735697326474 -22.1387912940094
"69" "m2_m2" 0.414 -25.4829704430473 -24.3834062422005 -21.5391254326152
"70" "m2_m3" 0.422 -25.4632905762645 -24.1694877815619 -21.7367973610583
"71" "m2_m4" 0.422 -25.4225840782671 -23.9984977505446 -21.8529323554507
"72" "m3_2" 0.374 -25.752179161128 -24.7257114856682 -22.1919813987798
"73" "m3_3" 0.41 -25.5133737990477 -24.2109463714967 -22.2192813184678
"74" "m3_m1" 0.43 -25.2465058668437 -23.6280629416604 -21.5875549003892
"75" "m3_m2" 0.426 -25.8711101349402 -24.5462482755838 -21.7366981746622
"76" "m3_m3" 0.422 -25.3798061623798 -24.2800789711309 -22.1575872534773
"77" "m3_m4" 0.418 -25.7213023302862 -24.5697071155653 -22.5195575613441
"78" "m4_0" 0.408 -25.1872576928059 -24.5979015396608 -21.7029277715395
"79" "m4_1" 0.41 -25.0195332115353 -24.6791832602908 -22.2107781947051
"80" "m4_2" 0.394 -25.48110596626 -24.6716727829745 -20.988523884368
"81" "m4_m2" 0.422 -24.9272534049445 -24.6157264400085 -22.0249764320078
"82" "m4_m3" 0.414 -25.6525207031313 -24.6251702088534 -21.9369220410881
"83" "m5_0" 0.422 -25.2829560934563 -24.3684576464402 -21.1002251241879
"84" "m5_1" 0.4 -25.2941022313546 -24.6724768229293 -22.0531496193409
"85" "m5_2" 0.496 -25.3084177326208 -24.8078640495141 -22.2696350579135
"86" "m5_m1" 0.438 -25.277600333232 -24.3766854874234 -21.9183515817625
"87" "m5_m2" 0.41 -26.0295468291539 -24.0276505317698 -22.1753966277896
"88" "m6_0" 0.438 -25.4821817847521 -24.4464179460691 -22.1567524395944
"89" "m6_m1" 0.41 -25.2448856282406 -24.3148298504088 -21.6710111168532
