"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"90" "0_0" 0.422 0.0719890981347646 0.834157622856537 3.49063367434888
"91" "0_1" 0.414 1.46358520253247 3.71944718141333 6.29206691007735
"92" "0_2" 0.39 0.238348323437904 1.33329135805977 3.65249712878586
"93" "0_6" 0.398 0.237445660521193 1.07796352164119 3.71047549336682
"94" "0_m1" 0.438 0.242224743390711 1.37364582724382 4.05252386765955
"95" "0_m2" 0.394 -0.101715761384561 1.05862933663958 4.49035232486017
"96" "0_m3" 0.402 0.720219078983519 1.12953766874724 4.51211959418257
"97" "0_m4" 0.402 0.64394811503546 1.10339188744958 3.90349243070115
"98" "0_m5" 0.434 1.03588502392118 1.58749740281057 4.59340583909101
"99" "0_m6" 0.44 1.06231900368751 1.46279916043062 4.8488073265651
"100" "0_m7" 0.398 1.05852371728351 1.4464732044706 5.0020999958041
"101" "1_0" 0.414 0.0480064987697482 0.91640926138566 3.74417898558524
"102" "1_1" 0.418 0.256671060003043 1.00150819755616 4.10799131513821
"103" "1_2" 0.414 0.473520535652927 1.94960267715176 4.18964881282496
"104" "1_3" 0.372 0.487680376961144 1.5711498430462 4.02115737053445
"105" "1_4" 0.394 0.55358354900774 1.18596213605663 3.7457343292782
"106" "1_5" 0.394 0.773358847442037 1.30477702951782 4.20788537442492
"107" "1_m1" 0.434 0.501028334622394 1.50393781449896 4.06960754082049
"108" "1_m2" 0.382 0.778476462175842 1.49122594536704 4.26372637244791
"109" "1_m3" 0.41 0.355472029791827 1.38678628024672 4.5245784752942
"110" "1_m5" 0.446 0.641793464529446 1.56006664561079 4.82760774086949
"111" "1_m6" 0.45 0.902792832242891 1.26100464714982 4.88721951443278
"112" "2_0" 0.392 0.349462080748093 1.48263411320008 3.84443863231165
"113" "2_1" 0.422 0.708261999839628 1.92469431429985 4.43100523455511
"114" "2_2" 0.398 0.720013932542429 1.40372231630469 4.16264862183607
"115" "2_3" 0.398 0.609130586942083 2.06690564879039 4.13407429847547
"116" "2_m1" 0.414 1.1629974028778 0.701329799739831 3.91127014051297
"117" "2_m2" 0.418 0.182766663550613 1.5558705421696 4.3437543804
"118" "2_m3" 0.398 0.155425879408277 1.11339413513968 3.61868601301128
"119" "2_m4" 0.466 0.110439467570021 2.09717149132462 5.29162492570118
"120" "2_m5" 0.446 0.557327435559881 1.61413399636687 4.92273469502409
"121" "3_0" 0.398 0.649430726121814 0.630321840825463 3.79158414801485
"122" "3_1" 0.43 1.9085316504079 4.87544939511965 7.61644851757906
"123" "3_2" 0.418 0.306363427215377 1.38077052728997 4.08090916380231
"124" "3_3" 0.394 0.370519411221977 0.636571068826008 3.54346828299566
"125" "3_m1" 0.498 1.12551095508345 1.25590873878522 4.22758689356193
"126" "3_m2" 0.418 0.288747265338376 2.06143385374775 4.84137219741279
"127" "3_m3" 0.434 0.0639180540229098 0.959038336047666 3.87670864136662
"128" "3_m4" 0.442 0.406040893918227 1.29826463171477 4.53634484576092
"129" "4_0" 0.422 1.10752394854172 1.02989146633135 3.83347503554071
"130" "4_1" 0.352 -0.191429516474614 2.18620053386049 4.90438546165696
"131" "4_2" 0.426 0.597751218946311 1.58052675830325 4.03428573084651
"132" "4_m1" 0.426 0.246320520090705 1.55174110793531 4.02796208223173
"133" "4_m2" 0.418 1.15008420766573 3.88158731367015 6.31770681688765
"134" "4_m3" 0.402 0.571655156645708 1.04133051833292 4.00133080745168
"135" "5_0" 0.41 0.602176184059978 1.39762846629674 3.81853540573153
"136" "5_1" 0.434 0.424981190657309 2.90256216621034 5.02731199008088
"137" "5_2" 0.402 0.689155073892721 1.29274505080492 4.16029471353691
"138" "5_m2" 0.388 0.715441939809182 3.13654542423667 4.82566366798875
"139" "6_0" 0.414 0.612314306900913 1.52207666770908 4.18800825736703
"140" "6_m1" 0.43 0.770447775854983 1.57985644103484 4.13403303839253
"141" "m1_0" 0.434 0.78692743683883 1.71289988327948 3.80804147907968
"142" "m1_1" 0.41 0.397704176432288 0.411994195257481 3.42620982908199
"143" "m1_2" 0.392 0.540140444336657 1.37509141076471 3.65395315699883
"144" "m1_3" 0.394 0.956765107489911 1.76647021145525 4.01185497787213
"145" "m1_4" 0.43 0.381422351214017 1.28197759524744 3.74405157270363
"146" "m1_5" 0.366 0.738990810988984 1.58800951523762 4.06442937216869
"147" "m1_m1" 0.434 0.711515907453897 1.18112947686779 3.82592337783436
"148" "m1_m2" 0.394 0.289168236736081 2.03653878155947 4.54328198336852
"149" "m1_m3" 0.414 0.521137222360004 1.38311069993133 4.3188733387953
"150" "m1_m5" 0.438 0.649283933898602 1.7913127720327 4.60962500878832
"151" "m1_m6" 0.41 1.12252025597628 2.19235330194422 4.98578945023359
"152" "m2_0" 0.414 0.58105336093179 0.809111281449212 3.9088299474655
"153" "m2_1" 0.422 0.983874974277477 1.59499964979144 3.96212534272047
"154" "m2_2" 0.418 0.446543486497017 1.69271811886038 3.83776191910583
"155" "m2_3" 0.37 0.350054638145703 1.07955596741655 3.89942190088238
"156" "m2_4" 0.394 0.614957575746512 0.669433790740381 3.94136693360509
"157" "m2_m1" 0.438 0.807642141466442 0.78277510780978 4.06930344837405
"158" "m2_m2" 0.414 0.878849027787165 1.65094172139056 4.43492475187323
"159" "m2_m3" 0.422 0.544308294249404 1.77564647033341 4.939218601002
"160" "m2_m4" 0.422 0.135218917363858 1.77813022520766 4.23768464221705
"161" "m3_2" 0.374 0.856318929995403 1.24077485497545 4.13001139883565
"162" "m3_3" 0.41 0.842061929619351 1.54316553373703 3.72213495875523
"163" "m3_m1" 0.43 0.694049784278015 1.7429842205784 3.96801028607643
"164" "m3_m2" 0.426 -0.17298386319041 1.56676550743742 4.41652435265171
"165" "m3_m3" 0.422 0.637608820539853 1.10527009919959 4.13797879135081
"166" "m3_m4" 0.418 0.441580764243554 1.58671197344207 3.62150802151895
"167" "m4_0" 0.408 1.06767917215949 1.78000381019154 4.29468072278643
"168" "m4_1" 0.41 0.835088639286706 1.29170310935523 3.97274191569415
