"DIE" "lognoise" "Vth" "Freq" "biasCond"
"97" "0_m4" 3.90349243070115 0.402 100 "vd1vg05"
"98" "0_m5" 4.59340583909101 0.434 100 "vd1vg05"
"99" "0_m6" 4.8488073265651 0.44 100 "vd1vg05"
"100" "0_m7" 5.0020999958041 0.398 100 "vd1vg05"
"101" "1_0" 3.74417898558524 0.414 100 "vd1vg05"
"102" "1_1" 4.10799131513821 0.418 100 "vd1vg05"
"103" "1_2" 4.18964881282496 0.414 100 "vd1vg05"
"104" "1_3" 4.02115737053445 0.372 100 "vd1vg05"
"105" "1_4" 3.7457343292782 0.394 100 "vd1vg05"
"106" "1_5" 4.20788537442492 0.394 100 "vd1vg05"
"107" "1_m1" 4.06960754082049 0.434 100 "vd1vg05"
"108" "1_m2" 4.26372637244791 0.382 100 "vd1vg05"
"109" "1_m3" 4.5245784752942 0.41 100 "vd1vg05"
"110" "1_m5" 4.82760774086949 0.446 100 "vd1vg05"
"111" "1_m6" 4.88721951443278 0.45 100 "vd1vg05"
"112" "2_0" 3.84443863231165 0.392 100 "vd1vg05"
"113" "2_1" 4.43100523455511 0.422 100 "vd1vg05"
"114" "2_2" 4.16264862183607 0.398 100 "vd1vg05"
"115" "2_3" 4.13407429847547 0.398 100 "vd1vg05"
"116" "2_m1" 3.91127014051297 0.414 100 "vd1vg05"
"117" "2_m2" 4.3437543804 0.418 100 "vd1vg05"
"118" "2_m3" 3.61868601301128 0.398 100 "vd1vg05"
"119" "2_m4" 5.29162492570118 0.466 100 "vd1vg05"
"120" "2_m5" 4.92273469502409 0.446 100 "vd1vg05"
"121" "3_0" 3.79158414801485 0.398 100 "vd1vg05"
"122" "3_1" 7.61644851757906 0.43 100 "vd1vg05"
"123" "3_2" 4.08090916380231 0.418 100 "vd1vg05"
"124" "3_3" 3.54346828299566 0.394 100 "vd1vg05"
"125" "3_m1" 4.22758689356193 0.498 100 "vd1vg05"
"126" "3_m2" 4.84137219741279 0.418 100 "vd1vg05"
"127" "3_m3" 3.87670864136662 0.434 100 "vd1vg05"
"128" "3_m4" 4.53634484576092 0.442 100 "vd1vg05"
"129" "4_0" 3.83347503554071 0.422 100 "vd1vg05"
"130" "4_1" 4.90438546165696 0.352 100 "vd1vg05"
"131" "4_2" 4.03428573084651 0.426 100 "vd1vg05"
"132" "4_m1" 4.02796208223173 0.426 100 "vd1vg05"
"133" "4_m2" 6.31770681688765 0.418 100 "vd1vg05"
"134" "4_m3" 4.00133080745168 0.402 100 "vd1vg05"
"135" "5_0" 3.81853540573153 0.41 100 "vd1vg05"
"136" "5_1" 5.02731199008088 0.434 100 "vd1vg05"
